,Stampede_128MB_np6,Stampede_256MB_np6,Stampede_512MB_np6,Stampede_1024MB_np6,Bridges_256MB_np6,Summit_1024MB_np6,Comet_1024MB_np6,Laptop_1024MB_np4
VersionMajor,1,1,1,1,1,1,1,1
VersionMinor,5,5,5,5,5,5,5,5
VersionMicro,0,0,0,0,0,0,0,0
VersionRelease,f,f,f,f,f,f,f,f
LANG,C,C,C,C,C,C,C,C
Success,1,1,1,1,1,1,0,1
sizeof_char,1,1,1,1,1,1,1,1
sizeof_short,2,2,2,2,2,2,2,2
sizeof_int,4,4,4,4,4,4,4,4
sizeof_long,8,8,8,8,8,8,8,8
sizeof_void_ptr,8,8,8,8,8,8,8,8
sizeof_size_t,8,8,8,8,8,8,8,8
sizeof_float,4,4,4,4,4,4,4,4
sizeof_double,8,8,8,8,8,8,8,8
sizeof_s64Int,8,8,8,8,8,8,8,8
sizeof_u64Int,8,8,8,8,8,8,8,8
sizeof_struct_double_double,16,16,16,16,16,16,16,16
CommWorldProcs,6,6,6,6,6,24,6,2
MPI_Wtick,3.70E-10,3.70E-10,3.70E-10,3.70E-10,6.44E-10,4.01E-10,4.00E-10,4.46628E-10
HPL_Tflops,0.111081,0.116872,0.120118,0.123552,0.104291,0.530989,0.119697,0.0395553
HPL_time,4.31818,11.5217,31.9424,87.1826,12.9116,163.825,89.9904,18.1009
HPL_eps,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11022E-16
HPL_RnormI,7.52E-11,4.21E-11,2.75E-10,5.27E-10,2.10E-11,1.76E-10,#NAME?,1.22483E-10
HPL_Anorm1,2293.36,3226.14,4562.08,6407.2,3226.14,12816.5,6407.2,2619.07
HPL_AnormI,2291.82,3219.17,4570.89,6415.89,3219.17,12815,6415.89,2624.26
HPL_Xnorm1,12348,5580.33,25420.9,36586.6,5580.33,16722,#NAME?,33088.2
HPL_XnormI,6.94517,2.21644,7.41432,7.23017,2.21644,1.84384,#NAME?,16.1904
HPL_BnormI,0.5,0.499971,0.499986,0.499993,0.499971,0.499997,0.499993,0.499982
HPL_N,8960,12640,17920,25280,12640,50720,25280,10240
HPL_NB,80,80,80,80,80,80,80,80
HPL_nprow,2,2,2,2,2,4,2,1
HPL_npcol,3,3,3,3,3,6,3,2
HPL_depth,1,1,1,1,1,1,1,1
HPL_nbdiv,2,2,2,2,2,2,2,2
HPL_nbmin,4,4,4,4,4,4,4,4
HPL_cpfact,R,R,R,R,R,R,R,R
HPL_crfact,C,C,C,C,C,C,C,C
HPL_ctop,1,1,1,1,1,1,1,1
HPL_order,C,C,C,C,C,C,C,C
