,bridges,comet,stampede,summit,laptop
HPL_Tflops,0.215951,0.376918,0.294586,0.53264,0.0358071
StarDGEMM_Gflops,19.807,18.4259,21.5235,28.3834,11.0092
SingleDGEMM_Gflops,33.0807,21.2062,23.0727,34.2565,15.563
PTRANS_GBs,3.57253,4.02147,4.71523,10.8949,0.850288
MPIRandomAccess_LCG_GUPs,0.0688067,0.0643925,0.049452,0.0985833,0.00499901
MPIRandomAccess_GUPs,0.0700385,0.0637129,0.0571513,0.0973646,0.005397
StarRandomAccess_LCG_GUPs,0.012859,0.033345,0.0228886,0.0334192,0.0266994
SingleRandomAccess_LCG_GUPs,0.0626308,0.0648788,0.0372958,0.0717821,0.0604318
StarRandomAccess_GUPs,0.0128778,0.0334041,0.0230922,0.0335016,0.0228788
SingleRandomAccess_GUPs,0.0612444,0.0648515,0.0374511,0.0716084,0.056846
StarSTREAM_Copy,1.63992,4.21272,4.57726,3.69016,5.08263
StarSTREAM_Scale,1.38328,3.19541,3.30669,2.92074,3.53951
StarSTREAM_Add,1.5253,3.60064,3.76346,3.33642,3.85717
StarSTREAM_Triad,1.5853,3.61897,3.73212,3.34267,3.85697
SingleSTREAM_Copy,6.95636,19.3064,7.58094,5.03965,16.0505
SingleSTREAM_Scale,5.0235,12.0275,13.1603,5.81145,9.4218
SingleSTREAM_Add,5.56274,13.1324,14.1851,5.91912,9.93453
SingleSTREAM_Triad,5.60783,13.1487,14.2154,5.92306,9.91911
StarFFT_Gflops,1.04898,1.93068,1.7685,1.84404,1.1024
SingleFFT_Gflops,1.33642,2.73676,2.69306,2.4645,1.94941
MPIFFT_Gflops,8.99739,17.9299,10.1954,14.1991,2.06849
MaxPingPongLatency_usec,0.977552,0.580369,0.479631,0.488717,0.700395
RandomlyOrderedRingLatency_usec,1.64323,0.572225,0.532336,0.701083,0.679061
MinPingPongBandwidth_GBytes,4.96149,5.36232,5.95163,11.2696,5.03606
NaturallyOrderedRingBandwidth_GBytes,0.726378,0.812646,0.996609,1.44221,1.3016
RandomlyOrderedRingBandwidth_GBytes,0.768784,1.23318,1.32789,1.56437,1.38813
MinPingPongLatency_usec,0.372814,0.388025,0.283691,0.312606,0.477783
AvgPingPongLatency_usec,0.565746,0.467398,0.382727,0.383007,0.592444
MaxPingPongBandwidth_GBytes,12.0903,9.54204,9.83478,15.4459,8.39117
AvgPingPongBandwidth_GBytes,9.50937,7.2649,7.75271,14.7139,6.76401
NaturallyOrderedRingLatency_usec,1.50814,0.624638,0.579283,0.664996,0.679178
MemProc,1024,512,1024,1024,1024
core_count,28,24,16,24,4
cpu_freq,2300,2500,2700,2500,2200
bogo_mips,4604.72,4988.09,5399.28,4992.81,4389.76
l1_cache,32,32,32,32,32
l2_cache,256,256,256,256,256
l3_cache,35840,30720,20480,30720,3072
memory_size,128,128,32,128,8
memory_freq,2133,2133,1600,2133,1600
memory_type,4,4,3,4,3
