matrix_name,dim,nnz,matrix_type,data_type,matrix_layout,square
sk-2005.mtx,50636154,1949412601,coordinate,pattern,general,1
it-2004.mtx,41291594,1150725436,coordinate,pattern,general,1
webbase-2001.mtx,118142155,1019903190,coordinate,pattern,general,1
uk-2005.mtx,39459925,936364282,coordinate,pattern,general,1
arabic-2005.mtx,22744080,639999458,coordinate,pattern,general,1
nlpkkt240.mtx,27993600,401232976,coordinate,real,symmetric,1
uk-2002.mtx,18520486,298113762,coordinate,pattern,general,1
HV15R.mtx,2017169,283073458,coordinate,real,general,1
nlpkkt200.mtx,16240000,232232816,coordinate,real,symmetric,1
indochina-2004.mtx,7414866,194109311,coordinate,pattern,general,1
rgg_n_2_24_s0.mtx,16777216,132557200,coordinate,pattern,symmetric,1
nlpkkt160.mtx,8345600,118931856,coordinate,real,symmetric,1
ML_Geer.mtx,1504002,110879972,coordinate,real,general,1
cage15.mtx,5154859,99199551,coordinate,real,general,1
kron_g500-logn21.mtx,2097152,91042010,coordinate,integer,symmetric,1
ljournal-2008.mtx,5363260,79023142,coordinate,pattern,general,1
soc-LiveJournal1.mtx,4847571,68993773,coordinate,pattern,general,1
Cube_Coup_dt0.mtx,2164760,64685452,coordinate,real,symmetric,1
Cube_Coup_dt6.mtx,2164760,64685452,coordinate,real,symmetric,1
rgg_n_2_23_s0.mtx,8388608,63501393,coordinate,pattern,symmetric,1
circuit5M.mtx,5558326,59524291,coordinate,real,general,1
Flan_1565.mtx,1564794,59485419,coordinate,real,symmetric,1
hollywood-2009.mtx,1139905,57515616,coordinate,pattern,symmetric,1
wb-edu.mtx,9845725,57156537,coordinate,pattern,general,1
europe_osm.mtx,50912018,54054660,coordinate,pattern,symmetric,1
delaunay_n24.mtx,16777216,50331601,coordinate,pattern,symmetric,1
nlpkkt120.mtx,3542400,50194096,coordinate,real,symmetric,1
spal_004.mtx,321696,46168124,coordinate,real,general,0
dielFilterV3real.mtx,1102824,45204422,coordinate,real,symmetric,1
wikipedia-20070206.mtx,3566907,45030389,coordinate,pattern,general,1
