system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
bridges,16,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.808947,10000,0.260768
bridges,16,saylr3.mtx,FIXED_POINT,RILUK,error,0
bridges,16,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.531326,10000,0.0634735
bridges,16,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
bridges,16,saylr3.mtx,FIXED_POINT,NONE,error,0
bridges,16,saylr3.mtx,BICGSTAB,ILUT,error,0
bridges,16,saylr3.mtx,BICGSTAB,RILUK,error,0
bridges,16,saylr3.mtx,BICGSTAB,RELAXATION,error,0
bridges,16,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
bridges,16,saylr3.mtx,BICGSTAB,NONE,error,0
bridges,16,saylr3.mtx,MINRES,ILUT,unconverged,0.627344,10000,0.0187202
bridges,16,saylr3.mtx,MINRES,RILUK,unconverged,0.644088,10000,0.0187202
bridges,16,saylr3.mtx,MINRES,RELAXATION,unconverged,0.645126,10000,0.0187202
bridges,16,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.644951,10000,0.0187202
bridges,16,saylr3.mtx,MINRES,NONE,unconverged,0.645096,10000,0.0187202
bridges,16,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
bridges,16,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
bridges,16,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
bridges,16,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
bridges,16,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
bridges,16,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
bridges,16,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
bridges,16,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,unconverged,3.53977,10000,125.951
bridges,16,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.44355,10000,132.136
bridges,16,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,3.03835,10000,111.293
bridges,16,saylr3.mtx,LSQR,ILUT,converged,0.253634,1000,
bridges,16,saylr3.mtx,LSQR,RILUK,unconverged,1.46819,10000,
bridges,16,saylr3.mtx,LSQR,RELAXATION,converged,0.779165,3499,
bridges,16,saylr3.mtx,LSQR,CHEBYSHEV,converged,1.10601,5311,
bridges,16,saylr3.mtx,LSQR,NONE,unconverged,1.09726,10000,
bridges,16,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.0875936,199,4.39661e-07
bridges,16,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0
bridges,16,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,3.63663,10000,0.0632456
bridges,16,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,3.62992,10000,1.10258
bridges,16,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.31971,10000,0.0632456
bridges,16,sherman1.mtx,FIXED_POINT,ILUT,converged,0.0694683,936,9.8915e-07
bridges,16,sherman1.mtx,FIXED_POINT,RILUK,converged,0.0805509,936,9.8915e-07
bridges,16,sherman1.mtx,FIXED_POINT,RELAXATION,unconverged,0.528991,10000,0.00537499
bridges,16,sherman1.mtx,FIXED_POINT,CHEBYSHEV,error,0
bridges,16,sherman1.mtx,FIXED_POINT,NONE,error,0
bridges,16,sherman1.mtx,BICGSTAB,ILUT,converged,0.0131431,43,4.93921e-07
bridges,16,sherman1.mtx,BICGSTAB,RILUK,converged,0.0148787,49,1.62344e-07
bridges,16,sherman1.mtx,BICGSTAB,RELAXATION,converged,0.0835221,253,8.27125e-07
bridges,16,sherman1.mtx,BICGSTAB,CHEBYSHEV,unconverged,2.94704,10000,3.78122
bridges,16,sherman1.mtx,BICGSTAB,NONE,converged,0.10816,354,9.8619e-07
bridges,16,sherman1.mtx,MINRES,ILUT,converged,0.039398,428,9.76167e-07
bridges,16,sherman1.mtx,MINRES,RILUK,converged,0.033551,428,9.76167e-07
bridges,16,sherman1.mtx,MINRES,RELAXATION,converged,0.032249,428,9.76167e-07
bridges,16,sherman1.mtx,MINRES,CHEBYSHEV,converged,0.0300961,428,9.76167e-07
bridges,16,sherman1.mtx,MINRES,NONE,converged,0.0247586,428,9.76167e-07
bridges,16,sherman1.mtx,PSEUDOBLOCK_CG,ILUT,error,0
bridges,16,sherman1.mtx,PSEUDOBLOCK_CG,RILUK,error,0
bridges,16,sherman1.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
bridges,16,sherman1.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
bridges,16,sherman1.mtx,PSEUDOBLOCK_CG,NONE,error,0
bridges,16,sherman1.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0296402,58,9.68819e-07
bridges,16,sherman1.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.0341008,58,6.81124e-07
bridges,16,sherman1.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.094821,252,3.65925e-07
bridges,16,sherman1.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.47639,10000,134.576
bridges,16,sherman1.mtx,PSEUDOBLOCK_TFQMR,NONE,converged,0.161683,526,7.27806e-07
bridges,16,sherman1.mtx,LSQR,ILUT,converged,0.285661,999,
bridges,16,sherman1.mtx,LSQR,RILUK,converged,0.136714,490,
bridges,16,sherman1.mtx,LSQR,RELAXATION,converged,0.714967,3206,
bridges,16,sherman1.mtx,LSQR,CHEBYSHEV,converged,0.683852,3216,
bridges,16,sherman1.mtx,LSQR,NONE,converged,1.01262,8902,
bridges,16,sherman1.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.0342898,63,7.88444e-07
bridges,16,sherman1.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.0295632,63,7.88444e-07
bridges,16,sherman1.mtx,PSEUDOBLOCK_GMRES,RELAXATION,converged,0.0792565,225,9.4501e-07
