system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
bridges,4,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.671558,10000,0.260768
bridges,4,saylr3.mtx,FIXED_POINT,RILUK,error,0
bridges,4,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.572632,10000,0.0634735
bridges,4,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
bridges,4,saylr3.mtx,FIXED_POINT,NONE,error,0
bridges,4,saylr3.mtx,BICGSTAB,ILUT,error,0
bridges,4,saylr3.mtx,BICGSTAB,RILUK,error,0
bridges,4,saylr3.mtx,BICGSTAB,RELAXATION,error,0
bridges,4,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
bridges,4,saylr3.mtx,BICGSTAB,NONE,error,0
bridges,4,saylr3.mtx,MINRES,ILUT,unconverged,0.595955,10000,0.00353228
bridges,4,saylr3.mtx,MINRES,RILUK,unconverged,0.633162,10000,0.00353228
bridges,4,saylr3.mtx,MINRES,RELAXATION,unconverged,0.593366,10000,0.00353228
bridges,4,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.655444,10000,0.00353228
bridges,4,saylr3.mtx,MINRES,NONE,unconverged,0.617714,10000,0.00353228
bridges,4,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
bridges,4,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
bridges,4,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
bridges,4,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
bridges,4,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
bridges,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
bridges,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
bridges,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0
bridges,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.61222,10000,132.808
bridges,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,error,0
bridges,4,saylr3.mtx,LSQR,ILUT,converged,0.272432,977,
bridges,4,saylr3.mtx,LSQR,RILUK,unconverged,1.59489,10000,
bridges,4,saylr3.mtx,LSQR,RELAXATION,converged,0.768384,3551,
bridges,4,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.428526,1827,
bridges,4,saylr3.mtx,LSQR,NONE,unconverged,1.13907,10000,
bridges,4,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.0508609,144,4.09737e-07
bridges,4,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0
bridges,4,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,4.0325,10000,0.0632456
bridges,4,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,3.90639,10000,0.714594
bridges,4,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.64557,10000,0.0632456
bridges,4,sherman1.mtx,FIXED_POINT,ILUT,converged,0.0403087,574,9.97027e-07
bridges,4,sherman1.mtx,FIXED_POINT,RILUK,converged,0.0501208,574,9.97027e-07
bridges,4,sherman1.mtx,FIXED_POINT,RELAXATION,unconverged,0.466607,10000,0.00537499
bridges,4,sherman1.mtx,FIXED_POINT,CHEBYSHEV,error,0
bridges,4,sherman1.mtx,FIXED_POINT,NONE,error,0
bridges,4,sherman1.mtx,BICGSTAB,ILUT,converged,0.0146573,30,6.68669e-07
bridges,4,sherman1.mtx,BICGSTAB,RILUK,converged,0.00939655,30,6.6883e-07
bridges,4,sherman1.mtx,BICGSTAB,RELAXATION,converged,0.0634131,210,3.12668e-07
bridges,4,sherman1.mtx,BICGSTAB,CHEBYSHEV,converged,0.0914559,213,5.11933e-07
bridges,4,sherman1.mtx,BICGSTAB,NONE,converged,0.0915012,343,9.95492e-07
bridges,4,sherman1.mtx,MINRES,ILUT,converged,0.0239148,429,9.95781e-07
bridges,4,sherman1.mtx,MINRES,RILUK,converged,0.0230052,429,9.95781e-07
bridges,4,sherman1.mtx,MINRES,RELAXATION,converged,0.0215838,429,9.95781e-07
bridges,4,sherman1.mtx,MINRES,CHEBYSHEV,converged,0.0247505,429,9.95781e-07
bridges,4,sherman1.mtx,MINRES,NONE,converged,0.0235677,429,9.95781e-07
bridges,4,sherman1.mtx,PSEUDOBLOCK_CG,ILUT,error,0
bridges,4,sherman1.mtx,PSEUDOBLOCK_CG,RILUK,error,0
bridges,4,sherman1.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
bridges,4,sherman1.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
bridges,4,sherman1.mtx,PSEUDOBLOCK_CG,NONE,error,0
bridges,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0137446,38,9.70918e-07
bridges,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.0204053,38,9.72639e-07
bridges,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.101087,316,7.66592e-07
bridges,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.51059,10000,132.748
bridges,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,NONE,converged,0.185777,574,7.40777e-07
bridges,4,sherman1.mtx,LSQR,ILUT,converged,0.311607,976,
bridges,4,sherman1.mtx,LSQR,RILUK,converged,0.0591533,257,
bridges,4,sherman1.mtx,LSQR,RELAXATION,converged,0.652374,3246,
bridges,4,sherman1.mtx,LSQR,CHEBYSHEV,converged,0.384847,1845,
bridges,4,sherman1.mtx,LSQR,NONE,converged,0.959108,8998,
bridges,4,sherman1.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.0239332,46,6.66245e-07
bridges,4,sherman1.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.0320966,46,6.66245e-07
bridges,4,sherman1.mtx,PSEUDOBLOCK_GMRES,RELAXATION,converged,0.0743313,225,9.4501e-07
bridges,4,sherman1.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,3.8695,10000,0.987754
bridges,4,sherman1.mtx,PSEUDOBLOCK_GMRES,NONE,converged,0.147953,351,9.88499e-07
bridges,4,olm1000.mtx,FIXED_POINT,ILUT,error,0
bridges,4,olm1000.mtx,FIXED_POINT,RILUK,error,0
bridges,4,olm1000.mtx,FIXED_POINT,RELAXATION,error,0
bridges,4,olm1000.mtx,FIXED_POINT,CHEBYSHEV,error,0
bridges,4,olm1000.mtx,FIXED_POINT,NONE,error,0
bridges,4,olm1000.mtx,BICGSTAB,ILUT,converged,0.0219243,57,7.08697e-07
bridges,4,olm1000.mtx,BICGSTAB,RILUK,converged,0.0165951,58,8.90633e-08
bridges,4,olm1000.mtx,BICGSTAB,RELAXATION,error,0
bridges,4,olm1000.mtx,BICGSTAB,CHEBYSHEV,error,0
bridges,4,olm1000.mtx,BICGSTAB,NONE,error,0
bridges,4,olm1000.mtx,MINRES,ILUT,unconverged,0.637182,10000,0.0751425
bridges,4,olm1000.mtx,MINRES,RILUK,unconverged,0.574189,10000,0.0751425
bridges,4,olm1000.mtx,MINRES,RELAXATION,unconverged,0.639845,10000,0.0751425
bridges,4,olm1000.mtx,MINRES,CHEBYSHEV,unconverged,0.586555,10000,0.0751425
bridges,4,olm1000.mtx,MINRES,NONE,unconverged,0.546418,10000,0.0751425
bridges,4,olm1000.mtx,PSEUDOBLOCK_CG,ILUT,error,0
bridges,4,olm1000.mtx,PSEUDOBLOCK_CG,RILUK,error,0
bridges,4,olm1000.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
bridges,4,olm1000.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
bridges,4,olm1000.mtx,PSEUDOBLOCK_CG,NONE,error,0
bridges,4,olm1000.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.017436,45,9.86962e-07
bridges,4,olm1000.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.020926,45,5.27186e-07
bridges,4,olm1000.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,unconverged,3.26286,10000,141.242
bridges,4,olm1000.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,error,0
bridges,4,olm1000.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,2.95218,10000,140.726
bridges,4,olm1000.mtx,LSQR,ILUT,unconverged,1.52135,10000,
bridges,4,olm1000.mtx,LSQR,RILUK,converged,0.0262852,105,
bridges,4,olm1000.mtx,LSQR,RELAXATION,converged,0.429021,2273,
