system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
comet,12,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.759859,10000,0.260768
comet,12,saylr3.mtx,FIXED_POINT,RILUK,error,0
comet,12,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.536404,10000,0.0634735
comet,12,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
comet,12,saylr3.mtx,FIXED_POINT,NONE,error,0
comet,12,saylr3.mtx,BICGSTAB,ILUT,error,0
comet,12,saylr3.mtx,BICGSTAB,RILUK,error,0
comet,12,saylr3.mtx,BICGSTAB,RELAXATION,error,0
comet,12,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
comet,12,saylr3.mtx,BICGSTAB,NONE,error,0
comet,12,saylr3.mtx,MINRES,ILUT,unconverged,0.688198,10000,0.0363301
comet,12,saylr3.mtx,MINRES,RILUK,unconverged,0.678935,10000,0.0363301
comet,12,saylr3.mtx,MINRES,RELAXATION,unconverged,0.68227,10000,0.0363301
comet,12,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.678511,10000,0.0363301
comet,12,saylr3.mtx,MINRES,NONE,unconverged,0.685712,10000,0.0363301
comet,12,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
comet,12,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
comet,12,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
comet,12,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
comet,12,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
comet,12,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
comet,12,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
comet,12,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,unconverged,3.84111,10000,125.951
comet,12,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.87877,10000,126.087
comet,12,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,3.31978,10000,111.293
comet,12,saylr3.mtx,LSQR,ILUT,converged,0.318975,954,
comet,12,saylr3.mtx,LSQR,RILUK,unconverged,2.08411,10000,
comet,12,saylr3.mtx,LSQR,RELAXATION,converged,0.941442,3519,
comet,12,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.699754,2572,
comet,12,saylr3.mtx,LSQR,NONE,unconverged,1.54522,10000,
comet,12,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.092737,189,5.72474e-07
comet,12,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0
comet,12,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,3.77466,10000,0.0716198
comet,12,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,4.04743,10000,7.83624e+122
comet,12,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.49704,10000,0.0806046
comet,12,sherman1.mtx,FIXED_POINT,ILUT,converged,0.084213,1138,9.98098e-07
