system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
comet,4,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.71484,10000,0.260768
comet,4,saylr3.mtx,FIXED_POINT,RILUK,error,0
comet,4,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.462167,10000,0.0634735
comet,4,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
comet,4,saylr3.mtx,FIXED_POINT,NONE,error,0
comet,4,saylr3.mtx,BICGSTAB,ILUT,error,0
comet,4,saylr3.mtx,BICGSTAB,RILUK,error,0
comet,4,saylr3.mtx,BICGSTAB,RELAXATION,error,0
comet,4,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
comet,4,saylr3.mtx,BICGSTAB,NONE,error,0
comet,4,saylr3.mtx,MINRES,ILUT,unconverged,0.567955,10000,0.00353228
comet,4,saylr3.mtx,MINRES,RILUK,unconverged,0.56262,10000,0.00353228
comet,4,saylr3.mtx,MINRES,RELAXATION,unconverged,0.570384,10000,0.00353228
comet,4,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.574267,10000,0.00353228
comet,4,saylr3.mtx,MINRES,NONE,unconverged,0.573022,10000,0.00353228
comet,4,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
comet,4,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
comet,4,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
comet,4,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
comet,4,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
comet,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
comet,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
comet,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0
comet,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,error,0
comet,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,error,0
comet,4,saylr3.mtx,LSQR,ILUT,converged,0.314953,977,
comet,4,saylr3.mtx,LSQR,RILUK,unconverged,1.83312,10000,
comet,4,saylr3.mtx,LSQR,RELAXATION,converged,0.853571,3551,
comet,4,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.447776,1827,
comet,4,saylr3.mtx,LSQR,NONE,unconverged,1.30958,10000,
comet,4,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.063194,144,4.09737e-07
comet,4,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0
comet,4,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,3.56257,10000,0.0712785
comet,4,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,3.78039,10000,7.90264e+42
comet,4,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.34479,10000,0.0806961
comet,4,sherman1.mtx,FIXED_POINT,ILUT,converged,0.0439899,574,9.97027e-07
comet,4,sherman1.mtx,FIXED_POINT,RILUK,converged,0.0429282,574,9.97027e-07
comet,4,sherman1.mtx,FIXED_POINT,RELAXATION,unconverged,0.450417,10000,0.00537499
comet,4,sherman1.mtx,FIXED_POINT,CHEBYSHEV,error,0
comet,4,sherman1.mtx,FIXED_POINT,NONE,error,0
comet,4,sherman1.mtx,BICGSTAB,ILUT,converged,0.0109651,30,6.68669e-07
comet,4,sherman1.mtx,BICGSTAB,RILUK,converged,0.0111079,30,6.6883e-07
comet,4,sherman1.mtx,BICGSTAB,RELAXATION,converged,0.06073,210,3.12668e-07
comet,4,sherman1.mtx,BICGSTAB,CHEBYSHEV,converged,0.0621271,213,5.11933e-07
comet,4,sherman1.mtx,BICGSTAB,NONE,converged,0.0958021,343,9.95492e-07
comet,4,sherman1.mtx,MINRES,ILUT,converged,0.02566,429,9.95781e-07
comet,4,sherman1.mtx,MINRES,RILUK,converged,0.02566,429,9.95781e-07
comet,4,sherman1.mtx,MINRES,RELAXATION,converged,0.0254271,429,9.95781e-07
comet,4,sherman1.mtx,MINRES,CHEBYSHEV,converged,0.0260341,429,9.95781e-07
comet,4,sherman1.mtx,MINRES,NONE,converged,0.027452,429,9.95781e-07
comet,4,sherman1.mtx,PSEUDOBLOCK_CG,ILUT,error,0
comet,4,sherman1.mtx,PSEUDOBLOCK_CG,RILUK,error,0
comet,4,sherman1.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
comet,4,sherman1.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
comet,4,sherman1.mtx,PSEUDOBLOCK_CG,NONE,error,0
comet,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0174491,38,9.70918e-07
comet,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.017349,38,9.72639e-07
comet,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.118206,316,7.66592e-07
comet,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.44106,10000,129.455
comet,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,NONE,converged,0.168243,574,7.40777e-07
comet,4,sherman1.mtx,LSQR,ILUT,converged,0.314721,976,
comet,4,sherman1.mtx,LSQR,RILUK,converged,0.0868618,257,
