system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
janus,2,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.914953,10000,0.260768
janus,2,saylr3.mtx,FIXED_POINT,RILUK,error,0.00184608
janus,2,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.600595,10000,0.0634735
janus,2,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0.0121329
janus,2,saylr3.mtx,FIXED_POINT,NONE,error,0.022943
janus,2,saylr3.mtx,BICGSTAB,ILUT,error,0.227151
janus,2,saylr3.mtx,BICGSTAB,RILUK,error,0.00171018
janus,2,saylr3.mtx,BICGSTAB,RELAXATION,error,0.975622
janus,2,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,1.21608
janus,2,saylr3.mtx,BICGSTAB,NONE,error,2.33906
janus,2,saylr3.mtx,MINRES,ILUT,unconverged,0.686609,10000,0.0123929
janus,2,saylr3.mtx,MINRES,RILUK,unconverged,0.679732,10000,0.0123929
janus,2,saylr3.mtx,MINRES,RELAXATION,unconverged,0.681997,10000,0.0123929
janus,2,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.687013,10000,0.0123929
janus,2,saylr3.mtx,MINRES,NONE,unconverged,0.686638,10000,0.0123929
janus,2,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0.000972986
janus,2,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0.00146508
janus,2,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.000348091
janus,2,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.00103807
janus,2,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0.000417948
janus,2,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,ILUT,error,0.000953913
janus,2,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RILUK,error,0.00145698
janus,2,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RELAXATION,error,0.00036788
janus,2,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,CHEBYSHEV,error,0.0010581
janus,2,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,NONE,error,0.000380039
janus,2,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0.178765
janus,2,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0.00172496
janus,2,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,unconverged,3.27043,10000,125.951
janus,2,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.34549,10000,137.199
janus,2,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,2.86208,10000,111.293
janus,2,saylr3.mtx,TFQMR,ILUT,error,0.103785
janus,2,saylr3.mtx,TFQMR,RILUK,error,0.00152802
janus,2,saylr3.mtx,TFQMR,RELAXATION,unconverged,1.6622,10000,125.951
janus,2,saylr3.mtx,TFQMR,CHEBYSHEV,error,0.672001
janus,2,saylr3.mtx,TFQMR,NONE,unconverged,1.24409,10000,111.293
janus,2,saylr3.mtx,LSQR,ILUT,converged,0.296716,998,
janus,2,saylr3.mtx,LSQR,RILUK,unconverged,1.67671,10000,
