num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
12,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.815328,10000,0.260768
12,saylr3.mtx,FIXED_POINT,RILUK,error,0.00195503,,
12,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.603791,10000,0.0634735
12,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0.0124941,,
12,saylr3.mtx,FIXED_POINT,NONE,error,0.022963,,
12,saylr3.mtx,BICGSTAB,ILUT,error,0.331408,,
12,saylr3.mtx,BICGSTAB,RILUK,error,0.00107408,,
12,saylr3.mtx,BICGSTAB,RELAXATION,error,1.1265,,
12,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0.598908,,
12,saylr3.mtx,BICGSTAB,NONE,error,2.37499,,
12,saylr3.mtx,MINRES,ILUT,unconverged,0.697814,10000,0.0363301
12,saylr3.mtx,MINRES,RILUK,unconverged,0.694713,10000,0.0363301
12,saylr3.mtx,MINRES,RELAXATION,unconverged,0.701296,10000,0.0363301
12,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.703153,10000,0.0363301
12,saylr3.mtx,MINRES,NONE,unconverged,0.701533,10000,0.0363301
12,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0.00106215,,
12,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0.000892878,,
12,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.000331879,,
12,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.00111485,,
12,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0.000372887,,
12,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,ILUT,error,0.0156581,,
12,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RILUK,error,0.01038,,
12,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RELAXATION,error,0.000348091,,
12,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,CHEBYSHEV,error,0.00110602,,
12,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,NONE,error,0.00529099,,
12,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0.322272,,
12,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0.00113297,,
12,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,unconverged,3.58201,10000,125.951
12,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.59077,10000,128.795
12,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,3.10194,10000,111.293
12,saylr3.mtx,TFQMR,ILUT,error,0.152858,,
12,saylr3.mtx,TFQMR,RILUK,error,0.000962973,,
12,saylr3.mtx,TFQMR,RELAXATION,unconverged,1.73495,10000,125.951
12,saylr3.mtx,TFQMR,CHEBYSHEV,unconverged,1.79484,10000,137.807
12,saylr3.mtx,TFQMR,NONE,unconverged,1.28055,10000,111.293
12,saylr3.mtx,LSQR,ILUT,converged,0.260099,954,
12,saylr3.mtx,LSQR,RILUK,unconverged,1.59933,10000,
12,saylr3.mtx,LSQR,RELAXATION,converged,0.754696,3519,
12,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.779815,3518,
12,saylr3.mtx,LSQR,NONE,unconverged,1.18112,10000,
12,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.0707328,188,7.67E-07
12,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0.000971079,,
12,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,2.20602,6300,0.0632456
12,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,2.21273,6300,0.0632456
12,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,2.0696,6300,0.0632456
12,sherman1.mtx,FIXED_POINT,ILUT,converged,0.0933342,1138,9.98E-07
12,sherman1.mtx,FIXED_POINT,RILUK,converged,0.0952251,1138,9.98E-07
12,sherman1.mtx,FIXED_POINT,RELAXATION,unconverged,0.601159,10000,0.00537499
12,sherman1.mtx,FIXED_POINT,CHEBYSHEV,error,0.040905,,
