2,saylr3.mtx, FIXED POINT, ILUT, unconverged,0.914953,10000,0.260768
2,saylr3.mtx, FIXED POINT, RILUK, error,0.00184608,,
2,saylr3.mtx, FIXED POINT, RELAXATION, unconverged,0.600595,10000,0.0634735
2,saylr3.mtx, FIXED POINT, CHEBYSHEV, error,0.0121329,,
2,saylr3.mtx, FIXED POINT, NONE, error,0.022943,,
2,saylr3.mtx, BICGSTAB, ILUT, error,0.227151,,
2,saylr3.mtx, BICGSTAB, RILUK, error,0.00171018,,
2,saylr3.mtx, BICGSTAB, RELAXATION, error,0.975622,,
2,saylr3.mtx, BICGSTAB, CHEBYSHEV, error,1.21608,,
2,saylr3.mtx, BICGSTAB, NONE, error,2.33906,,
2,saylr3.mtx, MINRES, ILUT, unconverged,0.686609,10000,0.0123929
2,saylr3.mtx, MINRES, RILUK, unconverged,0.679732,10000,0.0123929
2,saylr3.mtx, MINRES, RELAXATION, unconverged,0.681997,10000,0.0123929
2,saylr3.mtx, MINRES, CHEBYSHEV, unconverged,0.687013,10000,0.0123929
2,saylr3.mtx, MINRES, NONE, unconverged,0.686638,10000,0.0123929
2,saylr3.mtx, PSEUDOBLOCK CG, ILUT, error,0.000972986,,
2,saylr3.mtx, PSEUDOBLOCK CG, RILUK, error,0.00146508,,
2,saylr3.mtx, PSEUDOBLOCK CG, RELAXATION, error,0.000348091,,
2,saylr3.mtx, PSEUDOBLOCK CG, CHEBYSHEV, error,0.00103807,,
2,saylr3.mtx, PSEUDOBLOCK CG, NONE, error,0.000417948,,
2,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, ILUT, error,0.000953913,,
2,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, RILUK, error,0.00145698,,
2,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, RELAXATION, error,0.00036788,,
2,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, CHEBYSHEV, error,0.0010581,,
2,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, NONE, error,0.000380039,,
2,saylr3.mtx, PSEUDOBLOCK TFQMR, ILUT, error,0.178765,,
2,saylr3.mtx, PSEUDOBLOCK TFQMR, RILUK, error,0.00172496,,
2,saylr3.mtx, PSEUDOBLOCK TFQMR, RELAXATION, unconverged,3.27043,10000,125.951
2,saylr3.mtx, PSEUDOBLOCK TFQMR, CHEBYSHEV, unconverged,3.34549,10000,137.199
2,saylr3.mtx, PSEUDOBLOCK TFQMR, NONE, unconverged,2.86208,10000,111.293
2,saylr3.mtx, TFQMR, ILUT, error,0.103785,,
2,saylr3.mtx, TFQMR, RILUK, error,0.00152802,,
2,saylr3.mtx, TFQMR, RELAXATION, unconverged,1.6622,10000,125.951
2,saylr3.mtx, TFQMR, CHEBYSHEV, error,0.672001,,
2,saylr3.mtx, TFQMR, NONE, unconverged,1.24409,10000,111.293
2,saylr3.mtx, LSQR, ILUT, converged,0.296716,998, 
2,saylr3.mtx, LSQR, RILUK, unconverged,1.67671,10000, 
2,saylr3.mtx, LSQR, RELAXATION, converged,0.761889,3572, 
2,saylr3.mtx, LSQR, CHEBYSHEV, converged,0.79708,3576, 
2,saylr3.mtx, LSQR, NONE, unconverged,1.23134,10000, 
2,saylr3.mtx, PSEUDOBLOCK GMRES, ILUT, unconverged,0.034338,93,3.98E-07
2,saylr3.mtx, PSEUDOBLOCK GMRES, RILUK, error,0.00152898,,
2,saylr3.mtx, PSEUDOBLOCK GMRES, RELAXATION, unconverged,2.48102,6300,0.0632456
2,saylr3.mtx, PSEUDOBLOCK GMRES, CHEBYSHEV, unconverged,2.49192,6300,0.0632456
2,saylr3.mtx, PSEUDOBLOCK GMRES, NONE, unconverged,2.34677,6300,0.0632456
2,sherman1.mtx, FIXED POINT, ILUT, converged,0.055944,552,9.99E-07
2,sherman1.mtx, FIXED POINT, RILUK, converged,0.0533741,552,9.99E-07
2,sherman1.mtx, FIXED POINT, RELAXATION, unconverged,0.628213,10000,0.00537499
2,sherman1.mtx, FIXED POINT, CHEBYSHEV, error,0.0130122,,
2,sherman1.mtx, FIXED POINT, NONE, error,0.0236392,,
2,sherman1.mtx, BICGSTAB, ILUT, converged,0.0117249,29,5.95E-07
2,sherman1.mtx, BICGSTAB, RILUK, converged,0.0122762,29,5.95E-07
2,sherman1.mtx, BICGSTAB, RELAXATION, converged,0.076715,246,6.64E-07
2,sherman1.mtx, BICGSTAB, CHEBYSHEV, converged,0.075768,234,4.28E-07
2,sherman1.mtx, BICGSTAB, NONE, converged,0.10428,347,9.84E-07
2,sherman1.mtx, MINRES, ILUT, converged,0.0340581,430,9.65E-07
2,sherman1.mtx, MINRES, RILUK, converged,0.0343289,430,9.65E-07
2,sherman1.mtx, MINRES, RELAXATION, converged,0.034194,430,9.65E-07
2,sherman1.mtx, MINRES, CHEBYSHEV, converged,0.034107,430,9.65E-07
2,sherman1.mtx, MINRES, NONE, converged,0.0335741,430,9.65E-07
2,sherman1.mtx, PSEUDOBLOCK CG, ILUT, error,0.000953913,,
2,sherman1.mtx, PSEUDOBLOCK CG, RILUK, error,0.00129104,,
2,sherman1.mtx, PSEUDOBLOCK CG, RELAXATION, error,0.000355959,,
2,sherman1.mtx, PSEUDOBLOCK CG, CHEBYSHEV, error,0.00111413,,
2,sherman1.mtx, PSEUDOBLOCK CG, NONE, error,0.000397921,,
2,sherman1.mtx, PSEUDOBLOCK STOCHASTIC CG, ILUT, error,0.000957012,,
2,sherman1.mtx, PSEUDOBLOCK STOCHASTIC CG, RILUK, error,0.00130892,,
2,sherman1.mtx, PSEUDOBLOCK STOCHASTIC CG, RELAXATION, error,0.000386953,,
2,sherman1.mtx, PSEUDOBLOCK STOCHASTIC CG, CHEBYSHEV, error,0.00113606,,
2,sherman1.mtx, PSEUDOBLOCK STOCHASTIC CG, NONE, error,0.000419855,,
2,sherman1.mtx, PSEUDOBLOCK TFQMR, ILUT, converged,0.0181272,39,4.07E-07
2,sherman1.mtx, PSEUDOBLOCK TFQMR, RILUK, converged,0.018451,39,2.28E-07
2,sherman1.mtx, PSEUDOBLOCK TFQMR, RELAXATION, converged,0.119044,316,3.14E-07
2,sherman1.mtx, PSEUDOBLOCK TFQMR, CHEBYSHEV, converged,0.131782,343,7.15E-07
2,sherman1.mtx, PSEUDOBLOCK TFQMR, NONE, converged,0.195105,604,9.40E-07
2,sherman1.mtx, TFQMR, ILUT, converged,0.010999,39,4.07E-07
2,sherman1.mtx, TFQMR, RILUK, converged,0.0112231,39,2.28E-07
2,sherman1.mtx, TFQMR, RELAXATION, converged,0.059916,316,3.14E-07
2,sherman1.mtx, TFQMR, CHEBYSHEV, unconverged,1.78454,10000,131.817
2,sherman1.mtx, TFQMR, NONE, converged,0.076052,604,9.40E-07
2,sherman1.mtx, LSQR, ILUT, converged,0.292848,997, 
