system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
stampede,12,saylr3.mtx,FIXED_POINT,ILUT,unconverged,1.33605,10000,0.260768
stampede,12,saylr3.mtx,FIXED_POINT,RILUK,error,0
stampede,12,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.57989,10000,0.0634735
stampede,12,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
stampede,12,saylr3.mtx,FIXED_POINT,NONE,error,0
stampede,12,saylr3.mtx,BICGSTAB,ILUT,error,0
stampede,12,saylr3.mtx,BICGSTAB,RILUK,error,0
stampede,12,saylr3.mtx,BICGSTAB,RELAXATION,error,0
stampede,12,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
stampede,12,saylr3.mtx,BICGSTAB,NONE,error,0
stampede,12,saylr3.mtx,MINRES,ILUT,unconverged,0.746976,10000,0.0363301
stampede,12,saylr3.mtx,MINRES,RILUK,unconverged,0.657881,10000,0.0363301
stampede,12,saylr3.mtx,MINRES,RELAXATION,unconverged,0.662101,10000,0.0363301
stampede,12,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.660402,10000,0.0363301
stampede,12,saylr3.mtx,MINRES,NONE,unconverged,0.680331,10000,0.0363301
stampede,12,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
stampede,12,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
stampede,12,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
stampede,12,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
stampede,12,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
stampede,12,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
stampede,12,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
stampede,12,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,unconverged,3.66165,10000,125.951
stampede,12,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.73221,10000,128.847
stampede,12,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,3.19735,10000,111.293
stampede,12,saylr3.mtx,LSQR,ILUT,converged,0.38618,954,
stampede,12,saylr3.mtx,LSQR,RILUK,unconverged,1.77724,10000,
stampede,12,saylr3.mtx,LSQR,RELAXATION,converged,0.822456,3519,
stampede,12,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.845733,3503,
stampede,12,saylr3.mtx,LSQR,NONE,unconverged,1.31342,10000,
stampede,12,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.279694,138,4.7191e-07
stampede,12,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0
stampede,12,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,3.40913,10000,0.0632456
stampede,12,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,3.40849,10000,0.779851
stampede,12,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.15409,10000,0.0632456
stampede,12,sherman1.mtx,FIXED_POINT,ILUT,converged,0.0985446,1138,9.98098e-07
stampede,12,sherman1.mtx,FIXED_POINT,RILUK,converged,0.0883243,1138,9.98098e-07
stampede,12,sherman1.mtx,FIXED_POINT,RELAXATION,unconverged,0.540492,10000,0.00537499
stampede,12,sherman1.mtx,FIXED_POINT,CHEBYSHEV,error,0
stampede,12,sherman1.mtx,FIXED_POINT,NONE,error,0
stampede,12,sherman1.mtx,BICGSTAB,ILUT,converged,0.0163117,44,5.10996e-07
stampede,12,sherman1.mtx,BICGSTAB,RILUK,converged,0.0160742,44,8.54305e-07
stampede,12,sherman1.mtx,BICGSTAB,RELAXATION,error,0
stampede,12,sherman1.mtx,BICGSTAB,CHEBYSHEV,error,0
stampede,12,sherman1.mtx,BICGSTAB,NONE,converged,0.102827,348,9.73361e-07
stampede,12,sherman1.mtx,MINRES,ILUT,converged,0.0303903,428,9.84143e-07
stampede,12,sherman1.mtx,MINRES,RILUK,converged,0.0290229,428,9.84143e-07
stampede,12,sherman1.mtx,MINRES,RELAXATION,converged,0.0289798,428,9.84143e-07
stampede,12,sherman1.mtx,MINRES,CHEBYSHEV,converged,0.029563,428,9.84143e-07
stampede,12,sherman1.mtx,MINRES,NONE,converged,0.0291579,428,9.84143e-07
stampede,12,sherman1.mtx,PSEUDOBLOCK_CG,ILUT,error,0
stampede,12,sherman1.mtx,PSEUDOBLOCK_CG,RILUK,error,0
stampede,12,sherman1.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
stampede,12,sherman1.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
stampede,12,sherman1.mtx,PSEUDOBLOCK_CG,NONE,error,0
stampede,12,sherman1.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.026469,59,3.99835e-07
stampede,12,sherman1.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.0252898,59,3.99744e-07
stampede,12,sherman1.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.113784,306,8.47594e-07
