system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
summit,1,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.518424,10000,0.260768
summit,1,saylr3.mtx,FIXED_POINT,RILUK,error,0
summit,1,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.220539,10000,0.0634735
summit,1,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
summit,1,saylr3.mtx,FIXED_POINT,NONE,error,0
summit,1,saylr3.mtx,BICGSTAB,ILUT,error,0
summit,1,saylr3.mtx,BICGSTAB,RILUK,error,0
summit,1,saylr3.mtx,BICGSTAB,RELAXATION,error,0
summit,1,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
summit,1,saylr3.mtx,BICGSTAB,NONE,error,0
summit,1,saylr3.mtx,MINRES,ILUT,unconverged,0.336738,10000,0.0113317
summit,1,saylr3.mtx,MINRES,RILUK,unconverged,0.331489,10000,0.0113317
summit,1,saylr3.mtx,MINRES,RELAXATION,unconverged,0.333458,10000,0.0113317
summit,1,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.335004,10000,0.0113317
summit,1,saylr3.mtx,MINRES,NONE,unconverged,0.335245,10000,0.0113317
summit,1,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
summit,1,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
summit,1,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
summit,1,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
summit,1,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
summit,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
summit,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
summit,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0
summit,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,2.44045,10000,125.951
summit,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,1.93539,10000,111.293
summit,1,saylr3.mtx,LSQR,ILUT,converged,0.265175,996,
summit,1,saylr3.mtx,LSQR,RILUK,unconverged,1.41557,10000,
summit,1,saylr3.mtx,LSQR,RELAXATION,converged,0.59021,3594,
summit,1,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.620181,3590,
summit,1,saylr3.mtx,LSQR,NONE,unconverged,0.882191,10000,
summit,1,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.0303161,87,8.54843e-07
summit,1,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0
summit,1,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,3.92836,10000,0.0632456
summit,1,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,3.94275,10000,0.0632456
summit,1,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.75002,10000,0.0632456
summit,1,sherman1.mtx,FIXED_POINT,ILUT,converged,0.0311158,540,9.91403e-07
summit,1,sherman1.mtx,FIXED_POINT,RILUK,converged,0.0282149,540,9.91403e-07
summit,1,sherman1.mtx,FIXED_POINT,RELAXATION,unconverged,0.212853,10000,0.00537499
summit,1,sherman1.mtx,FIXED_POINT,CHEBYSHEV,error,0
summit,1,sherman1.mtx,FIXED_POINT,NONE,error,0
summit,1,sherman1.mtx,BICGSTAB,ILUT,converged,0.00867319,28,3.4217e-08
summit,1,sherman1.mtx,BICGSTAB,RILUK,converged,0.00830698,28,3.42403e-08
summit,1,sherman1.mtx,BICGSTAB,RELAXATION,converged,0.0462782,251,2.86168e-07
summit,1,sherman1.mtx,BICGSTAB,CHEBYSHEV,error,0
summit,1,sherman1.mtx,BICGSTAB,NONE,converged,0.0606813,345,5.13093e-07
summit,1,sherman1.mtx,MINRES,ILUT,converged,0.0163736,430,9.87159e-07
summit,1,sherman1.mtx,MINRES,RILUK,converged,0.0154712,430,9.87159e-07
summit,1,sherman1.mtx,MINRES,RELAXATION,converged,0.0152907,430,9.87159e-07
summit,1,sherman1.mtx,MINRES,CHEBYSHEV,converged,0.0153208,430,9.87159e-07
summit,1,sherman1.mtx,MINRES,NONE,converged,0.0147717,430,9.87159e-07
summit,1,sherman1.mtx,PSEUDOBLOCK_CG,ILUT,error,0
summit,1,sherman1.mtx,PSEUDOBLOCK_CG,RILUK,error,0
summit,1,sherman1.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
summit,1,sherman1.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
summit,1,sherman1.mtx,PSEUDOBLOCK_CG,NONE,error,0
summit,1,sherman1.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0124753,35,6.80479e-07
summit,1,sherman1.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.0121496,35,6.41222e-07
summit,1,sherman1.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.0738132,316,4.29101e-07
summit,1,sherman1.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,converged,0.0625777,254,9.35837e-07
summit,1,sherman1.mtx,PSEUDOBLOCK_TFQMR,NONE,converged,0.109595,568,9.77156e-07
summit,1,sherman1.mtx,LSQR,ILUT,converged,0.267885,996,
summit,1,sherman1.mtx,LSQR,RILUK,converged,0.0522099,192,
summit,1,sherman1.mtx,LSQR,RELAXATION,converged,0.559353,3309,
summit,1,sherman1.mtx,LSQR,CHEBYSHEV,converged,0.581585,3305,
summit,1,sherman1.mtx,LSQR,NONE,converged,0.786714,9138,
summit,1,sherman1.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.0144279,40,5.61618e-07
summit,1,sherman1.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.0122969,40,5.61618e-07
summit,1,sherman1.mtx,PSEUDOBLOCK_GMRES,RELAXATION,converged,0.08237,225,9.4501e-07
summit,1,sherman1.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,converged,0.080837,225,9.4501e-07
summit,1,sherman1.mtx,PSEUDOBLOCK_GMRES,NONE,converged,0.123405,347,9.5001e-07
summit,1,olm1000.mtx,FIXED_POINT,ILUT,error,0
summit,1,olm1000.mtx,FIXED_POINT,RILUK,error,0
summit,1,olm1000.mtx,FIXED_POINT,RELAXATION,error,0
summit,1,olm1000.mtx,FIXED_POINT,CHEBYSHEV,error,0
summit,1,olm1000.mtx,FIXED_POINT,NONE,error,0
summit,1,olm1000.mtx,BICGSTAB,ILUT,converged,0.00835347,28,4.76277e-08
summit,1,olm1000.mtx,BICGSTAB,RILUK,converged,0.0077765,27,5.174e-07
summit,1,olm1000.mtx,BICGSTAB,RELAXATION,unconverged,1.78501,10000,2.28966e+36
