matrix_name,dim,nnz,data_type,matrix_layout,density,sparsity
cage3.mtx,5,19,real,general,0.76000,0.24000
b1_ss.mtx,7,15,real,general,0.30610,0.69390
cage4.mtx,9,49,real,general,0.60490,0.39510
Stranke94.mtx,10,45,integer,symmetric,0.45000,0.55000
LFAT5_M.mtx,14,30,real,symmetric,0.15310,0.84690
LFAT5_E.mtx,14,30,real,symmetric,0.15310,0.84690
LFAT5.mtx,14,30,real,symmetric,0.15310,0.84690
LF10_M.mtx,18,50,real,symmetric,0.15430,0.84570
LF10_E.mtx,18,50,real,symmetric,0.15430,0.84570
LF10.mtx,18,50,real,symmetric,0.15430,0.84570
Trefethen_20b.mtx,19,83,integer,symmetric,0.22990,0.77010
Trefethen_20.mtx,20,89,integer,symmetric,0.22250,0.77750
Ragusa18.mtx,23,64,integer,general,0.12100,0.87900
Ragusa16.mtx,24,81,integer,general,0.14060,0.85940
ex5.mtx,27,153,real,symmetric,0.20990,0.79010
pores_1.mtx,30,180,real,general,0.20000,0.80000
Hamrle1.mtx,32,98,real,general,0.09570,0.90430
GD01_c.mtx,33,135,integer,general,0.12400,0.87600
football.mtx,35,118,integer,general,0.09630,0.90370
cage5.mtx,37,233,real,general,0.17020,0.82980
GD97_b.mtx,47,132,real,symmetric,0.05980,0.94020
bcsstm01.mtx,48,48,integer,symmetric,0.02080,0.97920
bcsstk01.mtx,48,224,real,symmetric,0.09720,0.90280
mesh1e1.mtx,48,177,real,symmetric,0.07680,0.92320
mesh1em6.mtx,48,177,real,symmetric,0.07680,0.92320
mesh1em1.mtx,48,177,real,symmetric,0.07680,0.92320
d_ss.mtx,53,149,real,general,0.05300,0.94700
impcol_b.mtx,59,312,real,general,0.08960,0.91040
bfwa62.mtx,62,450,real,general,0.11710,0.88290
bfwb62.mtx,62,202,real,symmetric,0.05250,0.94750
GD99_b.mtx,64,127,integer,symmetric,0.03100,0.96900
bcsstk02.mtx,66,2211,real,symmetric,0.50760,0.49240
ww_36_pmec_36.mtx,66,1194,real,general,0.27410,0.72590
bcsstm02.mtx,66,66,real,symmetric,0.01520,0.98480
west0067.mtx,67,294,real,general,0.06550,0.93450
CAG_mat72.mtx,72,1012,integer,general,0.19520,0.80480
lesmis.mtx,77,254,integer,symmetric,0.04280,0.95720
steam3.mtx,80,928,real,general,0.14500,0.85500
Sandi_authors.mtx,86,124,integer,symmetric,0.01680,0.98320
d_dyn1.mtx,87,238,real,general,0.03140,0.96860
d_dyn.mtx,87,238,real,general,0.03140,0.96860
tols90.mtx,90,1746,real,general,0.21560,0.78440
cage6.mtx,93,785,real,general,0.09080,0.90920
rotor1.mtx,100,708,real,general,0.07080,0.92920
tub100.mtx,100,396,real,general,0.03960,0.96040
olm100.mtx,100,396,real,general,0.03960,0.96040
nos4.mtx,100,347,real,symmetric,0.03470,0.96530
pivtol.mtx,102,306,real,general,0.02940,0.97060
ck104.mtx,104,992,real,general,0.09170,0.90830
n3c6-b1.mtx,105,210,integer,general,0.01900,0.98100
bcsstk03.mtx,112,376,real,symmetric,0.03000,0.97000
bcsstm03.mtx,112,112,real,symmetric,0.00890,0.99110
gre_115.mtx,115,421,real,general,0.03180,0.96820
robot.mtx,120,870,real,general,0.06040,0.93960
Journals.mtx,124,6096,integer,symmetric,0.39650,0.60350
arc130.mtx,130,1282,real,general,0.07590,0.92410
lns_131.mtx,131,536,real,general,0.03120,0.96880
lnsp_131.mtx,131,536,real,general,0.03120,0.96880
bcsstk04.mtx,132,1890,real,symmetric,0.10850,0.89150
