training_systems	training_numprocs	testing_systems	testing_numprocs	classifier	sampler	split	roc-auc	time
3	all	3	24	RandomForest	RandomOverSampler	0	0.777	7.605
3	all	3	24	RandomForest	RandomOverSampler	1	0.733	8.182
3	all	3	24	RandomForest	RandomOverSampler	2	0.773	8.025
3	all	3	24	RandomForest	RandomOverSampler	avg	0.761
3	all	3	24	RandomForest	SMOTE	0	0.782	11.155
3	all	3	24	RandomForest	SMOTE	1	0.747	11.3
3	all	3	24	RandomForest	SMOTE	2	0.772	10.74
3	all	3	24	RandomForest	SMOTE	avg	0.767
3	all	3	24	DecisionTree	RandomOverSampler	0	0.774	3.01
3	all	3	24	DecisionTree	RandomOverSampler	1	0.732	3.048
3	all	3	24	DecisionTree	RandomOverSampler	2	0.767	2.932
3	all	3	24	DecisionTree	RandomOverSampler	avg	0.758
3	all	3	24	DecisionTree	SMOTE	0	0.774	5.873
3	all	3	24	DecisionTree	SMOTE	1	0.732	5.745
3	all	3	24	DecisionTree	SMOTE	2	0.768	5.83
3	all	3	24	DecisionTree	SMOTE	avg	0.758
3	all	3	24	KNN	RandomOverSampler	0	0.763	5.074
3	all	3	24	KNN	RandomOverSampler	1	0.72	5.34
3	all	3	24	KNN	RandomOverSampler	2	0.753	5.583
3	all	3	24	KNN	RandomOverSampler	avg	0.745
3	all	3	24	KNN	SMOTE	0	0.766	7.056
3	all	3	24	KNN	SMOTE	1	0.724	7.573
3	all	3	24	KNN	SMOTE	2	0.759	6.89
3	all	3	24	KNN	SMOTE	avg	0.75
3	all	3	24	RandomForest	SMOTE	best_avg	0.767
