,rows,cols,min_nnz_row,row_var,col_var,diag_var,nnz,frob_norm,symm_frob_norm,antisymm_frob_norm,one_norm,inf_norm,symm_inf_norm,antisymm_inf_norm,max_nnz_row,trace,abs_trace,min_nnz_row,avg_nnz_row,dummy_rows,dummy_rows_kind,num_value_symm_1,nnz_pattern_symm_1,num_value_symm_2,nnz_pattern_symm_2,row_diag_dom,col_diag_dom,diag_avg,diag_sign,diag_nnz,lower_bw,upper_bw,row_log_val_spread,col_log_val_spread,symm,matrix,matrix_id
0,14214,14214,1,2749350.0,2452810.0,14068799488.0,259688,9828360.0,9807560.0,639114.0,340858.0,365528.0,343319.0,52569.3984375,23,-746806976.0,746808000.0,1,18,637,0,0,0,0.9702020287513733,0.9404029846191406,0,0,52540.30078125,3,14214,3002,3002,10.583399772644043,10.576700210571289,0,airfoil_2d.mtx,19887524238821882
1,7980,7980,1,4502720.0,2335100.0,11507.2998046875,430909,585696.0,410580.0,417688.0,197393.0,390863.0,195909.0,196236.0,90,645863.0,645863.0,1,53,3,1,0,0,0.5181480050086975,0.03629520162940025,0,0,80.9352035522461,2,7980,7614,7614,65.96289825439453,67.92970275878906,0,GT01R.mtx,-5775540644877232367
2,903,903,1,83117203456.0,97817403392.0,1974110.0,11766,19224300.0,13593100.0,13594100.0,14331800.0,12563100.0,7168220.0,7163630.0,17,148104.0,148104.0,1,13,3,1,0,0,0.5005239844322205,0.0010472299763932824,0,0,164.01300048828125,2,903,18,17,25.935199737548828,27.098800659179688,0,DK01R.mtx,-5986948858364213259
3,100,100,1,20002500.0,20002500.0,46515100.0,708,91659.203125,81242.8984375,42438.19921875,80503.5,80507.296875,80003.296875,40505.3984375,41,121996.0,122020.0,1,7,0,0,0,0,0.6268510222434998,0.2537029981613159,0,0,1220.199951171875,3,66,90,93,74.44270324707031,74.44270324707031,0,rotor1.mtx,8484898116850689434
4,791,791,1,298168992.0,300524992.0,2935790.0,10685,4707840.0,3329280.0,3328610.0,1091430.0,1091710.0,545855.0,545854.0,43,83993.796875,83993.796875,1,13,6,1,0,0,0.5006620287895203,0.0013236800441518426,0,0,106.18699645996094,3,681,721,721,53.45869827270508,53.45869827270508,0,rotor2.mtx,-6072360429082770149
5,120,120,1,110.9260025024414,110.94300079345703,347.8940124511719,870,275.72198486328125,275.56298828125,9.353130340576172,176.08900451660156,174.06700134277344,175.0780029296875,3.0,26,845.6539916992188,857.6539916992188,1,7,0,0,0,0,0.9509570002555847,0.9019140005111694,0,0,7.147119998931885,3,80,86,85,34.47169876098633,35.962100982666016,0,robot.mtx,7994235322272888217
6,22560,22560,1,88832.5,70751.8984375,18454900.0,1014951,1226680.0,1011760.0,693603.0,118980.0,121540.0,119592.0,59668.5,112,-13448700.0,27746900.0,1,44,1,0,0,0,0.6594970226287842,0.3189939856529236,0,0,1229.9200439453125,3,19201,22497,22501,23.743600845336914,24.376100540161133,0,rim.mtx,4823531754514349391
7,7320,7320,1,24829.30078125,24841.599609375,241.05799865722656,324772,125123.0,88478.296875,88471.8984375,30120.0,30116.900390625,15072.900390625,15060.2001953125,112,31920.599609375,71271.6015625,1,44,1,0,0,0,0.523402988910675,0.04680610075592995,0,0,9.736559867858887,3,6241,7268,7272,20.894100189208984,22.07430076599121,0,goodwin.mtx,-6779958172899380421
8,6747,6747,1,43500498321408.0,43499802066944.0,0.0001728469942463562,29195,4489869824.0,3174820096.0,3174820096.0,541830016.0,543846976.0,271923008.0,271923008.0,30,-1.0790300369262695,1.100100040435791,1,4,0,0,0,0,0.5,3.2313898779001704e-10,0,0,0.0001630509941605851,3,7,5499,6746,150.7469940185547,152.01199340820312,0,bayer03.mtx,-2948657301607606973
9,7,7,2,0.16618099808692932,0.2857140004634857,1.5918400287628174,15,3.068660020828247,2.7763900756835938,1.3070299625396729,2.0,3.0,1.725000023841858,1.5306799411773682,3,0.0,6.0,2,2,0,0,0,0,0.7981699705123901,0.5963410139083862,0,0,0.857142984867096,3,6,6,3,2.1122798919677734,2.1122798919677734,0,b1_ss.mtx,-1112158721073983879
10,4008,4008,1,0.007542009931057692,0.0004990019951947033,0.0,8188,75.3499984741211,69.62960052490234,28.79829978942871,2.0,40.09519958496094,20.623699188232422,19.47570037841797,63,4008.0,4008.0,1,2,3079,0,0,0,0.8259990215301514,0.651997983455658,0,1,1.0,2,4008,3880,3971,4.0,4.0,0,poli.mtx,4976962171922655578
11,1089,1089,1,778053.0,778055.0,2.9530699521274073e-06,4144,29135.30078125,20601.69921875,20601.69921875,29137.099609375,29166.80078125,14583.400390625,14583.400390625,11,-0.05668339878320694,0.05668339878320694,1,3,0,0,0,0,0.5000010132789612,1.914650056278333e-06,0,0,5.205089837545529e-05,-1,2,929,1087,11.617300033569336,10.347200393676758,0,b_dyn.mtx,228925959793543907
12,3008,3008,1,123006999330816.0,207024000335872.0,8.276200169632375e-09,20715,887219968.0,627358976.0,627358976.0,1160760064.0,608483008.0,580380032.0,580380032.0,73,0.004990300163626671,0.004990300163626671,1,6,0,0,0,0,0.5,8.145990132435443e-11,0,0,1.6589999631833052e-06,1,2,2745,2941,59.491600036621094,59.491600036621094,0,bayer06.mtx,-6898831756602135984
13,3268,3268,1,1.1322699670405629e+21,1.9057499737175401e+21,0.07627280056476593,20712,2805639938048.0,1983879970816.0,1983879970816.0,3670639902720.0,1924190044160.0,1835319951360.0,1835319951360.0,66,-15.780699729919434,15.780699729919434,1,6,0,0,0,0,0.5,8.138979767924326e-11,0,0,0.004828860051929951,-1,2,3008,2941,49.65999984741211,47.50550079345703,0,bayer05.mtx,3532213595034724768
14,57735,57735,1,274971.0,274971.0,3.464219911636108e-15,275094,147439.0,104255.0,104255.0,126001.0,126000.0,63000.5,63000.5,28,0.0,1.9999999494757503e-05,1,4,0,0,0,0,0.5,4.4549601341259404e-08,0,0,3.4641001178670194e-10,3,2,49670,57733,60.28779983520508,59.19049835205078,0,bayer01.mtx,-2506944807671163731
15,33833,33833,1,0.007081190124154091,5.911389962420799e-05,2.9193999580456875e-05,73249,243.2729949951172,215.64999389648438,112.58999633789062,2.0,248.74899291992188,125.3740005493164,124.3740005493164,304,33827.0,33827.0,1,2,25531,1,0,0,0.7725740075111389,0.5451480150222778,0,0,0.9998239874839783,2,33833,8250,33784,5.0,5.0,0,poli4.mtx,7180988505657274579
16,15575,15575,1,0.021426299586892128,0.00012841100397054106,0.0,33033,164.82200622558594,146.19700622558594,76.10990142822266,2.0,367.4620056152344,184.24899291992188,183.21600341796875,491,15575.0,15575.0,1,2,13227,0,0,0,0.7732210159301758,0.5464419722557068,0,1,1.0,2,15575,15446,15574,4.0,4.0,0,poli_large.mtx,8145206048026237316
17,13935,13935,1,1139130.0,1139130.0,1.2931099524493561e-09,63307,129560.0,91612.3984375,91612.3984375,126001.0,126000.0,63000.5,63000.5,22,-0.0042540100403130054,0.0042549301870167255,1,4,0,0,0,0,0.5,2.0100000597267353e-07,0,0,3.053409898257087e-07,3,4,11975,13934,30.472999572753906,30.472999572753906,0,bayer02.mtx,4680606340196338140
18,87,87,1,146.51800537109375,71.36470031738281,0.00044526299461722374,230,124.55999755859375,88.07759857177734,88.07740020751953,79.7239990234375,167.8280029296875,83.91560363769531,83.91560363769531,8,0.20748400688171387,0.20748400688171387,1,2,0,0,0,0,0.5004119873046875,0.0008236219873651862,0,0,0.0023848700802773237,1,4,77,86,21.470600128173828,21.470600128173828,0,d_dyn.mtx,403929735680113531
19,53,53,2,24042500.0,11551400.0,474.1499938964844,144,39358.8984375,27830.69921875,27831.19921875,25210.900390625,52480.80078125,26241.900390625,26241.900390625,6,158.16799926757812,161.83200073242188,2,2,0,0,0,0,0.5009940266609192,0.0019878800958395004,0,0,3.0534400939941406,3,4,45,13,4.819540023803711,8.017200469970703,0,d_ss.mtx,-4994494029901138806
20,3008,3008,1,1.4049899955879936e+16,2.364629893041357e+16,9.45309011513018e-07,20698,9482059776.0,6704829952.0,6704829952.0,12405499904.0,6503090176.0,6202740224.0,6202740224.0,73,0.05333320051431656,0.05333320051431656,1,6,0,0,0,0,0.5,8.143900137591586e-11,0,0,1.773049916664604e-05,1,2,2745,2941,127.69999694824219,127.69999694824219,0,bayer08.mtx,6535804989228705154
21,2904,2904,1,826867968.0,835892992.0,344296992.0,58142,2204220.0,1711550.0,1388950.0,2593830.0,2346190.0,2000000.0,1297350.0,411,1064940.0,1064940.0,1,20,0,0,0,0,0.5354539752006531,0.07090859860181808,0,0,366.71600341796875,1,27,2827,1545,38.84709930419922,38.84709930419922,0,meg1.mtx,-8372607300412374109
22,3083,3083,1,476830993743872.0,476829014032384.0,0.00043690099846571684,11767,3428559872.0,2424359936.0,2424359936.0,1212870016.0,1214889984.0,607443968.0,607443968.0,27,1.1720099449157715,1.1720099449157715,1,3,0,0,0,0,0.5,7.929149697938342e-11,0,0,0.00038015199243091047,3,4,2857,3082,47.45050048828125,47.45050048828125,0,bayer09.mtx,512144867597512972
23,1089,1089,1,18365500.0,27531400.0,0.0009174299775622785,3895,777152.0,549529.0,549529.0,300005.0,200001.0,150004.0,150004.0,10,1.0,1.0,1,3,0,0,0,0,0.5000010132789612,1.5314100210161996e-06,0,0,0.0009182739886455238,1,1,929,1087,5.309360027313232,6.0,0,b2_ss.mtx,6412634430590477265
