classifier,sampler,np_a,np_b,fold,AUC,time
GradientBoosting,DummySampler,1,1,0,0.803,4.488
GradientBoosting,DummySampler,1,1,1,0.702,4.614
GradientBoosting,DummySampler,1,1,2,0.746,4.647
GradientBoosting,DummySampler,1,1,avg,0.75
GradientBoosting,SMOTE,1,1,0,0.804,16.988
GradientBoosting,SMOTE,1,1,1,0.816,17.389
GradientBoosting,SMOTE,1,1,2,0.802,19.086
GradientBoosting,SMOTE,1,1,avg,0.808
GradientBoosting,SMOTEENN,1,1,0,0.812,17.993
GradientBoosting,SMOTEENN,1,1,1,0.816,16.443
GradientBoosting,SMOTEENN,1,1,2,0.803,16.869
GradientBoosting,SMOTEENN,1,1,avg,0.81
GradientBoosting,SMOTETomek,1,1,0,0.813,17.153
GradientBoosting,SMOTETomek,1,1,1,0.816,16.405
GradientBoosting,SMOTETomek,1,1,2,0.794,18.293
GradientBoosting,SMOTETomek,1,1,avg,0.808
GradientBoosting,RandomOverSampler,1,1,0,0.819,11.933
GradientBoosting,RandomOverSampler,1,1,1,0.822,11.83
GradientBoosting,RandomOverSampler,1,1,2,0.834,12.081
GradientBoosting,RandomOverSampler,1,1,avg,0.825
RandomForest,DummySampler,1,1,0,0.563,0.216
RandomForest,DummySampler,1,1,1,0.533,0.246
RandomForest,DummySampler,1,1,2,0.696,0.222
RandomForest,DummySampler,1,1,avg,0.597
RandomForest,SMOTE,1,1,0,0.515,1.264
RandomForest,SMOTE,1,1,1,0.668,1.193
RandomForest,SMOTE,1,1,2,0.667,1.164
RandomForest,SMOTE,1,1,avg,0.616
RandomForest,SMOTEENN,1,1,0,0.576,2.04
RandomForest,SMOTEENN,1,1,1,0.707,1.845
RandomForest,SMOTEENN,1,1,2,0.726,1.849
RandomForest,SMOTEENN,1,1,avg,0.67
RandomForest,SMOTETomek,1,1,0,0.547,3.6
RandomForest,SMOTETomek,1,1,1,0.638,2.774
RandomForest,SMOTETomek,1,1,2,0.706,3.853
RandomForest,SMOTETomek,1,1,avg,0.63
RandomForest,RandomOverSampler,1,1,0,0.621,0.489
RandomForest,RandomOverSampler,1,1,1,0.581,0.512
RandomForest,RandomOverSampler,1,1,2,0.732,0.475
RandomForest,RandomOverSampler,1,1,avg,0.645
AdaBoost,DummySampler,1,1,0,0.755,1.768
AdaBoost,DummySampler,1,1,1,0.746,1.794
AdaBoost,DummySampler,1,1,2,0.809,1.868
AdaBoost,DummySampler,1,1,avg,0.77
AdaBoost,SMOTE,1,1,0,0.795,5.739
AdaBoost,SMOTE,1,1,1,0.75,5.966
AdaBoost,SMOTE,1,1,2,0.747,5.485
AdaBoost,SMOTE,1,1,avg,0.764
AdaBoost,SMOTEENN,1,1,0,0.801,6.557
AdaBoost,SMOTEENN,1,1,1,0.803,6.726
AdaBoost,SMOTEENN,1,1,2,0.763,6.377
AdaBoost,SMOTEENN,1,1,avg,0.789
AdaBoost,SMOTETomek,1,1,0,0.781,8.515
AdaBoost,SMOTETomek,1,1,1,0.779,8.098
AdaBoost,SMOTETomek,1,1,2,0.746,8.506
AdaBoost,SMOTETomek,1,1,avg,0.769
AdaBoost,RandomOverSampler,1,1,0,0.755,3.927
AdaBoost,RandomOverSampler,1,1,1,0.748,3.681
AdaBoost,RandomOverSampler,1,1,2,0.803,3.764
AdaBoost,RandomOverSampler,1,1,avg,0.769
GradientBoosting,DummySampler,1,12,0,0.771,4.221
GradientBoosting,DummySampler,1,12,1,0.659,4.398
GradientBoosting,DummySampler,1,12,2,0.758,4.289
GradientBoosting,DummySampler,1,12,avg,0.73
GradientBoosting,SMOTE,1,12,0,0.765,15.42
GradientBoosting,SMOTE,1,12,1,0.778,13.8
GradientBoosting,SMOTE,1,12,2,0.745,13.102
GradientBoosting,SMOTE,1,12,avg,0.763
