classifier,sampler,np_a,np_b,fold,AUC,time
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,0,0.955,73.401
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,1,0.949,74.857
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,2,0.946,71.276
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,avg,0.95
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,0,0.948,232.07
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,1,0.943,230.65
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,2,0.926,219.252
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,avg,0.939
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,0,0.948,241.918
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,1,0.947,241.797
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,2,0.93,239.091
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,avg,0.942
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,0,0.946,283.248
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,1,0.944,283.977
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,2,0.923,294.927
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,avg,0.938
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,0,0.969,205.871
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,1,0.956,216.429
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,2,0.948,201.094
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,avg,0.958
RandomForest,DummySampler,[1 2 4 6 8 10 12],1,0,0.943,3.635
RandomForest,DummySampler,[1 2 4 6 8 10 12],1,1,0.983,3.211
RandomForest,DummySampler,[1 2 4 6 8 10 12],1,2,0.983,3.29
RandomForest,DummySampler,[1 2 4 6 8 10 12],1,avg,0.97
RandomForest,SMOTE,[1 2 4 6 8 10 12],1,0,0.942,13.524
RandomForest,SMOTE,[1 2 4 6 8 10 12],1,1,0.974,13.619
RandomForest,SMOTE,[1 2 4 6 8 10 12],1,2,0.983,13.662
RandomForest,SMOTE,[1 2 4 6 8 10 12],1,avg,0.966
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,0,0.942,49.325
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,1,0.981,44.84
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,2,0.981,39.011
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,avg,0.968
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,0,0.944,83.861
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,1,0.978,61.354
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,2,0.983,87.636
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,avg,0.968
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,0,0.942,10.66
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,1,0.983,10.097
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,2,0.983,10.784
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,avg,0.97
AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,0,0.939,18.787
AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,1,0.916,17.901
AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,2,0.878,18.601
AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,avg,0.911
AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,0,0.918,52.141
AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,1,0.914,77.33
AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,2,0.847,62.578
AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,avg,0.893
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,0,0.917,65.414
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,1,0.902,105.431
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,2,0.862,64.365
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,avg,0.894
