classifier,sampler,np_a,np_b,fold,AUC,time
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.939,58.049
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.919,54.614
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.926,57.214
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.928
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.922,185.691
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.91,164.735
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.911,186.335
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.914
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.926,233.826
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.909,176.923
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.913,175.75
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.916
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.919,219.403
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.908,220.582
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.911,214.178
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.913
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.948,143.868
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.931,151.082
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.933,150.564
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.937
RandomForest,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.919,2.858
RandomForest,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.935,2.583
RandomForest,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.923,2.923
RandomForest,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.926
RandomForest,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.921,11.946
RandomForest,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.939,11.361
RandomForest,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.919,12.131
RandomForest,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.926
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.917,37.699
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.943,29.048
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.919,28.96
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.926
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.916,62.485
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.933,65.366
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.914,73.931
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.921
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.918,6.264
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.936,5.792
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.923,5.865
