np_a,np_b,best_classifier,best_sampler,best_avg_auc,best_avg_auc2
all,1,RandomForest,RandomOverSampler,0.97,
all,12,RandomForest,RandomOverSampler,0.954,
all,all,GradientBoost,RandomOverSampler,0.937,
1,others,GradientBoost,RandomOverSampler,0.885,
12,all,GradientBoost,RandomOverSampler,0.884,
1,all,GradientBoost,RandomOverSampler,0.883,
1,1,GradientBoost,RandomOverSampler,0.83,0.813
12,1,GradientBoost,SMOTE,0.827,0.795
1,12,GradientBoost,RandomOverSampler,0.785,0.784
12,12,GradientBoost,SMOTE,0.766,0.773
