,np,matrix,matrix_id,solver_id,prec_id,status_id,new_time,good_or_bad
0,2,saylr3.mtx,5054133946684947129,0,0,0,inf,-1
1,2,saylr3.mtx,5054133946684947129,0,1,-1,inf,-1
2,2,saylr3.mtx,5054133946684947129,0,2,0,inf,-1
3,2,saylr3.mtx,5054133946684947129,0,3,-1,inf,-1
4,2,saylr3.mtx,5054133946684947129,0,4,-1,inf,-1
5,2,saylr3.mtx,5054133946684947129,1,0,-1,inf,-1
6,2,saylr3.mtx,5054133946684947129,1,1,-1,inf,-1
7,2,saylr3.mtx,5054133946684947129,1,2,-1,inf,-1
8,2,saylr3.mtx,5054133946684947129,1,3,-1,inf,-1
9,2,saylr3.mtx,5054133946684947129,1,4,-1,inf,-1
10,2,saylr3.mtx,5054133946684947129,2,0,0,inf,-1
11,2,saylr3.mtx,5054133946684947129,2,1,0,inf,-1
12,2,saylr3.mtx,5054133946684947129,2,2,0,inf,-1
13,2,saylr3.mtx,5054133946684947129,2,3,0,inf,-1
14,2,saylr3.mtx,5054133946684947129,2,4,0,inf,-1
15,2,saylr3.mtx,5054133946684947129,3,0,-1,inf,-1
16,2,saylr3.mtx,5054133946684947129,3,1,-1,inf,-1
17,2,saylr3.mtx,5054133946684947129,3,2,-1,inf,-1
18,2,saylr3.mtx,5054133946684947129,3,3,-1,inf,-1
19,2,saylr3.mtx,5054133946684947129,3,4,-1,inf,-1
20,2,saylr3.mtx,5054133946684947129,4,0,-1,inf,-1
21,2,saylr3.mtx,5054133946684947129,4,1,-1,inf,-1
22,2,saylr3.mtx,5054133946684947129,4,2,-1,inf,-1
23,2,saylr3.mtx,5054133946684947129,4,3,-1,inf,-1
24,2,saylr3.mtx,5054133946684947129,4,4,-1,inf,-1
25,2,saylr3.mtx,5054133946684947129,5,0,-1,inf,-1
26,2,saylr3.mtx,5054133946684947129,5,1,-1,inf,-1
27,2,saylr3.mtx,5054133946684947129,5,2,0,inf,-1
28,2,saylr3.mtx,5054133946684947129,5,3,0,inf,-1
29,2,saylr3.mtx,5054133946684947129,5,4,0,inf,-1
30,2,saylr3.mtx,5054133946684947129,6,0,-1,inf,-1
31,2,saylr3.mtx,5054133946684947129,6,1,-1,inf,-1
32,2,saylr3.mtx,5054133946684947129,6,2,0,inf,-1
33,2,saylr3.mtx,5054133946684947129,6,3,-1,inf,-1
34,2,saylr3.mtx,5054133946684947129,6,4,0,inf,-1
35,2,saylr3.mtx,5054133946684947129,7,0,1,0.296716,1
36,2,saylr3.mtx,5054133946684947129,7,1,0,inf,-1
37,2,saylr3.mtx,5054133946684947129,7,2,1,0.761889,-1
38,2,saylr3.mtx,5054133946684947129,7,3,1,0.79708,-1
39,2,saylr3.mtx,5054133946684947129,7,4,0,inf,-1
40,2,saylr3.mtx,5054133946684947129,8,0,0,inf,-1
41,2,saylr3.mtx,5054133946684947129,8,1,-1,inf,-1
42,2,saylr3.mtx,5054133946684947129,8,2,0,inf,-1
43,2,saylr3.mtx,5054133946684947129,8,3,0,inf,-1
44,2,saylr3.mtx,5054133946684947129,8,4,0,inf,-1
45,2,sherman1.mtx,-1946102749737017214,0,0,1,0.05594400000000001,-1
46,2,sherman1.mtx,-1946102749737017214,0,1,1,0.0533741,-1
47,2,sherman1.mtx,-1946102749737017214,0,2,0,inf,-1
48,2,sherman1.mtx,-1946102749737017214,0,3,-1,inf,-1
49,2,sherman1.mtx,-1946102749737017214,0,4,-1,inf,-1
50,2,sherman1.mtx,-1946102749737017214,1,0,1,0.0117249,1
51,2,sherman1.mtx,-1946102749737017214,1,1,1,0.0122762,1
52,2,sherman1.mtx,-1946102749737017214,1,2,1,0.07671499999999999,-1
53,2,sherman1.mtx,-1946102749737017214,1,3,1,0.07576799999999999,-1
54,2,sherman1.mtx,-1946102749737017214,1,4,1,0.10428,-1
55,2,sherman1.mtx,-1946102749737017214,2,0,1,0.034058099999999994,-1
56,2,sherman1.mtx,-1946102749737017214,2,1,1,0.034328899999999996,-1
57,2,sherman1.mtx,-1946102749737017214,2,2,1,0.034194,-1
58,2,sherman1.mtx,-1946102749737017214,2,3,1,0.034107,-1
59,2,sherman1.mtx,-1946102749737017214,2,4,1,0.033574099999999996,-1
60,2,sherman1.mtx,-1946102749737017214,3,0,-1,inf,-1
61,2,sherman1.mtx,-1946102749737017214,3,1,-1,inf,-1
62,2,sherman1.mtx,-1946102749737017214,3,2,-1,inf,-1
63,2,sherman1.mtx,-1946102749737017214,3,3,-1,inf,-1
64,2,sherman1.mtx,-1946102749737017214,3,4,-1,inf,-1
65,2,sherman1.mtx,-1946102749737017214,4,0,-1,inf,-1
66,2,sherman1.mtx,-1946102749737017214,4,1,-1,inf,-1
67,2,sherman1.mtx,-1946102749737017214,4,2,-1,inf,-1
68,2,sherman1.mtx,-1946102749737017214,4,3,-1,inf,-1
69,2,sherman1.mtx,-1946102749737017214,4,4,-1,inf,-1
70,2,sherman1.mtx,-1946102749737017214,5,0,1,0.018127200000000003,-1
71,2,sherman1.mtx,-1946102749737017214,5,1,1,0.018451,-1
72,2,sherman1.mtx,-1946102749737017214,5,2,1,0.11904400000000001,-1
73,2,sherman1.mtx,-1946102749737017214,5,3,1,0.13178199999999998,-1
74,2,sherman1.mtx,-1946102749737017214,5,4,1,0.195105,-1
75,2,sherman1.mtx,-1946102749737017214,6,0,1,0.010999,1
76,2,sherman1.mtx,-1946102749737017214,6,1,1,0.011223100000000001,1
77,2,sherman1.mtx,-1946102749737017214,6,2,1,0.059916,-1
78,2,sherman1.mtx,-1946102749737017214,6,3,0,inf,-1
79,2,sherman1.mtx,-1946102749737017214,6,4,1,0.076052,-1
80,2,sherman1.mtx,-1946102749737017214,7,0,1,0.292848,-1
81,2,sherman1.mtx,-1946102749737017214,7,1,1,0.061183900000000006,-1
82,2,sherman1.mtx,-1946102749737017214,7,2,1,0.698919,-1
