,classifier,sampler,np_a,np_b,fold,AUC,time
0,GradientBoosting,DummySampler,1,1,0,0.8029999999999999,4.488
1,GradientBoosting,DummySampler,1,1,1,0.7020000000000001,4.614
2,GradientBoosting,DummySampler,1,1,2,0.746,4.647
3,GradientBoosting,DummySampler,1,1,avg,0.75,
4,GradientBoosting,SMOTE,1,1,0,0.804,16.988
5,GradientBoosting,SMOTE,1,1,1,0.816,17.389
6,GradientBoosting,SMOTE,1,1,2,0.802,19.086
7,GradientBoosting,SMOTE,1,1,avg,0.8079999999999999,
8,GradientBoosting,SMOTEENN,1,1,0,0.812,17.993
9,GradientBoosting,SMOTEENN,1,1,1,0.816,16.442999999999998
10,GradientBoosting,SMOTEENN,1,1,2,0.8029999999999999,16.869
11,GradientBoosting,SMOTEENN,1,1,avg,0.81,
12,GradientBoosting,SMOTETomek,1,1,0,0.813,17.153
13,GradientBoosting,SMOTETomek,1,1,1,0.816,16.405
14,GradientBoosting,SMOTETomek,1,1,2,0.794,18.293
15,GradientBoosting,SMOTETomek,1,1,avg,0.8079999999999999,
16,GradientBoosting,RandomOverSampler,1,1,0,0.8190000000000001,11.933
17,GradientBoosting,RandomOverSampler,1,1,1,0.8220000000000001,11.83
18,GradientBoosting,RandomOverSampler,1,1,2,0.8340000000000001,12.081
19,GradientBoosting,RandomOverSampler,1,1,avg,0.825,
20,RandomForest,DummySampler,1,1,0,0.563,0.21600000000000003
21,RandomForest,DummySampler,1,1,1,0.5329999999999999,0.24600000000000002
22,RandomForest,DummySampler,1,1,2,0.696,0.222
23,RandomForest,DummySampler,1,1,avg,0.597,
24,RandomForest,SMOTE,1,1,0,0.515,1.264
25,RandomForest,SMOTE,1,1,1,0.6679999999999999,1.193
26,RandomForest,SMOTE,1,1,2,0.667,1.1640000000000001
27,RandomForest,SMOTE,1,1,avg,0.616,
28,RandomForest,SMOTEENN,1,1,0,0.5760000000000001,2.04
29,RandomForest,SMOTEENN,1,1,1,0.7070000000000001,1.845
30,RandomForest,SMOTEENN,1,1,2,0.726,1.849
31,RandomForest,SMOTEENN,1,1,avg,0.67,
32,RandomForest,SMOTETomek,1,1,0,0.547,3.6
33,RandomForest,SMOTETomek,1,1,1,0.638,2.7739999999999996
34,RandomForest,SMOTETomek,1,1,2,0.706,3.853
35,RandomForest,SMOTETomek,1,1,avg,0.63,
36,RandomForest,RandomOverSampler,1,1,0,0.621,0.489
37,RandomForest,RandomOverSampler,1,1,1,0.581,0.512
38,RandomForest,RandomOverSampler,1,1,2,0.732,0.475
39,RandomForest,RandomOverSampler,1,1,avg,0.645,
40,AdaBoost,DummySampler,1,1,0,0.755,1.768
41,AdaBoost,DummySampler,1,1,1,0.746,1.794
42,AdaBoost,DummySampler,1,1,2,0.809,1.868
43,AdaBoost,DummySampler,1,1,avg,0.77,
44,AdaBoost,SMOTE,1,1,0,0.795,5.739
45,AdaBoost,SMOTE,1,1,1,0.75,5.966
46,AdaBoost,SMOTE,1,1,2,0.747,5.485
47,AdaBoost,SMOTE,1,1,avg,0.764,
48,AdaBoost,SMOTEENN,1,1,0,0.8009999999999999,6.557
49,AdaBoost,SMOTEENN,1,1,1,0.8029999999999999,6.726
