training_systems	training_numprocs	testing_systems	testing_numprocs	classifier	sampler	split	roc-auc	time
3	1	3	1	GradientBoosting	RandomOverSampler	0	0.846	4.801
3	1	3	1	GradientBoosting	RandomOverSampler	1	0.865	4.497
3	1	3	1	GradientBoosting	RandomOverSampler	2	0.87	4.352
3	1	3	1	GradientBoosting	RandomOverSampler	avg	0.86
3	1	3	1	GradientBoosting	SMOTE	0	0.821	6.741
3	1	3	1	GradientBoosting	SMOTE	1	0.845	6.173
3	1	3	1	GradientBoosting	SMOTE	2	0.859	5.621
3	1	3	1	GradientBoosting	SMOTE	avg	0.842
3	1	3	1	GradientBoosting	DummySampler	0	0.839	1.853
3	1	3	1	GradientBoosting	DummySampler	1	0.867	2.012
3	1	3	1	GradientBoosting	DummySampler	2	0.883	1.941
3	1	3	1	GradientBoosting	DummySampler	avg	0.863
3	1	3	1	GradientBoosting	SMOTEENN	0	0.825	6.073
3	1	3	1	GradientBoosting	SMOTEENN	1	0.842	5.849
3	1	3	1	GradientBoosting	SMOTEENN	2	0.874	5.913
3	1	3	1	GradientBoosting	SMOTEENN	avg	0.847
3	1	3	1	GradientBoosting	SMOTETomek	0	0.822	5.564
3	1	3	1	GradientBoosting	SMOTETomek	1	0.841	5.532
3	1	3	1	GradientBoosting	SMOTETomek	2	0.859	5.736
3	1	3	1	GradientBoosting	SMOTETomek	avg	0.841
3	1	3	1	GradientBoosting	ADASYN	0	0.835	12.924
3	1	3	1	GradientBoosting	ADASYN	1	0.861	13.457
3	1	3	1	GradientBoosting	ADASYN	2	0.857	13.071
3	1	3	1	GradientBoosting	ADASYN	avg	0.851
3	1	3	1	RandomForest	RandomOverSampler	0	0.907	0.306
3	1	3	1	RandomForest	RandomOverSampler	1	0.932	0.299
3	1	3	1	RandomForest	RandomOverSampler	2	0.936	0.302
3	1	3	1	RandomForest	RandomOverSampler	avg	0.925
3	1	3	1	RandomForest	SMOTE	0	0.902	0.578
3	1	3	1	RandomForest	SMOTE	1	0.929	0.557
3	1	3	1	RandomForest	SMOTE	2	0.941	0.587
3	1	3	1	RandomForest	SMOTE	avg	0.924
3	1	3	1	RandomForest	DummySampler	0	0.91	0.165
3	1	3	1	RandomForest	DummySampler	1	0.933	0.201
3	1	3	1	RandomForest	DummySampler	2	0.935	0.183
3	1	3	1	RandomForest	DummySampler	avg	0.926
3	1	3	1	RandomForest	SMOTEENN	0	0.907	1.01
3	1	3	1	RandomForest	SMOTEENN	1	0.931	1.03
3	1	3	1	RandomForest	SMOTEENN	2	0.927	0.98
3	1	3	1	RandomForest	SMOTEENN	avg	0.922
3	1	3	1	RandomForest	SMOTETomek	0	0.91	1.402
3	1	3	1	RandomForest	SMOTETomek	1	0.934	1.427
3	1	3	1	RandomForest	SMOTETomek	2	0.936	1.39
3	1	3	1	RandomForest	SMOTETomek	avg	0.926
3	1	3	1	RandomForest	ADASYN	0	0.912	9.512
3	1	3	1	RandomForest	ADASYN	1	0.94	9.277
3	1	3	1	RandomForest	ADASYN	2	0.932	9.29
3	1	3	1	RandomForest	ADASYN	avg	0.928
3	1	3	1	GaussianNB	RandomOverSampler	0	0.491	0.028
3	1	3	1	GaussianNB	RandomOverSampler	1	0.508	0.028
3	1	3	1	GaussianNB	RandomOverSampler	2	0.508	0.039
3	1	3	1	GaussianNB	RandomOverSampler	avg	0.502
3	1	3	1	GaussianNB	SMOTE	0	0.491	0.122
3	1	3	1	GaussianNB	SMOTE	1	0.503	0.131
3	1	3	1	GaussianNB	SMOTE	2	0.513	0.13
3	1	3	1	GaussianNB	SMOTE	avg	0.502
3	1	3	1	GaussianNB	DummySampler	0	0.491	0.009
3	1	3	1	GaussianNB	DummySampler	1	0.508	0.008
3	1	3	1	GaussianNB	DummySampler	2	0.508	0.013
3	1	3	1	GaussianNB	DummySampler	avg	0.502
3	1	3	1	GaussianNB	SMOTEENN	0	0.491	0.619
3	1	3	1	GaussianNB	SMOTEENN	1	0.503	0.621
3	1	3	1	GaussianNB	SMOTEENN	2	0.513	0.578
3	1	3	1	GaussianNB	SMOTEENN	avg	0.502
3	1	3	1	GaussianNB	SMOTETomek	0	0.491	0.981
3	1	3	1	GaussianNB	SMOTETomek	1	0.503	0.966
3	1	3	1	GaussianNB	SMOTETomek	2	0.512	0.917
3	1	3	1	GaussianNB	SMOTETomek	avg	0.502
3	1	3	1	GaussianNB	ADASYN	0	0.491	9.194
3	1	3	1	GaussianNB	ADASYN	1	0.508	9.027
3	1	3	1	GaussianNB	ADASYN	2	0.508	9.056
3	1	3	1	GaussianNB	ADASYN	avg	0.502
3	1	3	1	DecisionTree	RandomOverSampler	0	0.9	0.154
3	1	3	1	DecisionTree	RandomOverSampler	1	0.932	0.166
3	1	3	1	DecisionTree	RandomOverSampler	2	0.934	0.164
3	1	3	1	DecisionTree	RandomOverSampler	avg	0.922
3	1	3	1	DecisionTree	SMOTE	0	0.9	0.368
3	1	3	1	DecisionTree	SMOTE	1	0.928	0.356
3	1	3	1	DecisionTree	SMOTE	2	0.934	0.355
3	1	3	1	DecisionTree	SMOTE	avg	0.921
3	1	3	1	DecisionTree	DummySampler	0	0.902	0.067
3	1	3	1	DecisionTree	DummySampler	1	0.931	0.075
3	1	3	1	DecisionTree	DummySampler	2	0.934	0.076
3	1	3	1	DecisionTree	DummySampler	avg	0.922
3	1	3	1	DecisionTree	SMOTEENN	0	0.899	0.878
