,system,np,matrix,solver,prec,status,time,iters,resid,system_id,solver_id,prec_id,status_id,good_or_bad,new_time,matrix_id
0,bridges,28,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.61363,10000.0,0.260768,1,0,0,0,-1,inf,5054133946684947129
1,bridges,28,saylr3.mtx,FIXED_POINT,RILUK,error,0.0,,,1,0,1,-1,-1,inf,5054133946684947129
2,bridges,28,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.478911,10000.0,0.0634735,1,0,2,0,-1,inf,5054133946684947129
3,bridges,28,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0.0,,,1,0,3,-1,-1,inf,5054133946684947129
4,bridges,28,saylr3.mtx,FIXED_POINT,NONE,error,0.0,,,1,0,4,-1,-1,inf,5054133946684947129
5,bridges,28,saylr3.mtx,BICGSTAB,ILUT,error,0.0,,,1,1,0,-1,-1,inf,5054133946684947129
6,bridges,28,saylr3.mtx,BICGSTAB,RILUK,error,0.0,,,1,1,1,-1,-1,inf,5054133946684947129
7,bridges,28,saylr3.mtx,BICGSTAB,RELAXATION,error,0.0,,,1,1,2,-1,-1,inf,5054133946684947129
8,bridges,28,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0.0,,,1,1,3,-1,-1,inf,5054133946684947129
9,bridges,28,saylr3.mtx,BICGSTAB,NONE,error,0.0,,,1,1,4,-1,-1,inf,5054133946684947129
10,bridges,28,saylr3.mtx,MINRES,ILUT,unconverged,0.642208,10000.0,0.0100667,1,2,0,0,-1,inf,5054133946684947129
11,bridges,28,saylr3.mtx,MINRES,RILUK,unconverged,0.622879,10000.0,0.0100667,1,2,1,0,-1,inf,5054133946684947129
12,bridges,28,saylr3.mtx,MINRES,RELAXATION,unconverged,0.621333,10000.0,0.0100667,1,2,2,0,-1,inf,5054133946684947129
13,bridges,28,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.631067,10000.0,0.0100667,1,2,3,0,-1,inf,5054133946684947129
14,bridges,28,saylr3.mtx,MINRES,NONE,unconverged,0.630232,10000.0,0.0100667,1,2,4,0,-1,inf,5054133946684947129
15,bridges,28,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0.0,,,1,3,0,-1,-1,inf,5054133946684947129
16,bridges,28,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0.0,,,1,3,1,-1,-1,inf,5054133946684947129
17,bridges,28,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.0,,,1,3,2,-1,-1,inf,5054133946684947129
18,bridges,28,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.0,,,1,3,3,-1,-1,inf,5054133946684947129
19,bridges,28,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0.0,,,1,3,4,-1,-1,inf,5054133946684947129
20,bridges,28,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0.0,,,1,5,0,-1,-1,inf,5054133946684947129
21,bridges,28,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0.0,,,1,5,1,-1,-1,inf,5054133946684947129
22,bridges,28,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0.0,,,1,5,2,-1,-1,inf,5054133946684947129
23,bridges,28,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.4009699999999996,10000.0,124.741,1,5,3,0,-1,inf,5054133946684947129
24,bridges,28,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,2.9281900000000003,10000.0,111.29299999999999,1,5,4,0,-1,inf,5054133946684947129
25,bridges,28,saylr3.mtx,LSQR,ILUT,converged,0.292523,987.0,,1,7,0,1,1,0.292523,5054133946684947129
26,bridges,28,saylr3.mtx,LSQR,RILUK,unconverged,1.4723700000000002,10000.0,,1,7,1,0,-1,inf,5054133946684947129
27,bridges,28,saylr3.mtx,LSQR,RELAXATION,converged,0.692547,3477.0,,1,7,2,1,-1,0.692547,5054133946684947129
28,bridges,28,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.41516000000000003,2034.0,,1,7,3,1,-1,0.41516000000000003,5054133946684947129
29,bridges,28,saylr3.mtx,LSQR,NONE,unconverged,1.1027200000000001,10000.0,,1,7,4,0,-1,inf,5054133946684947129
30,bridges,28,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.264856,198.0,6.509789999999999e-07,1,8,0,0,-1,inf,5054133946684947129
31,bridges,28,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0.0,,,1,8,1,-1,-1,inf,5054133946684947129
32,bridges,28,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,3.28839,10000.0,0.0632456,1,8,2,0,-1,inf,5054133946684947129
33,bridges,28,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,3.2873,10000.0,0.8410040000000001,1,8,3,0,-1,inf,5054133946684947129
34,bridges,28,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.0596200000000002,10000.0,0.0632456,1,8,4,0,-1,inf,5054133946684947129
35,bridges,28,sherman1.mtx,FIXED_POINT,ILUT,converged,0.190768,1093.0,9.94319e-07,1,0,0,1,-1,0.190768,-1946102749737017214
36,bridges,28,sherman1.mtx,FIXED_POINT,RILUK,converged,0.07494930000000001,1093.0,9.94319e-07,1,0,1,1,-1,0.07494930000000001,-1946102749737017214
37,bridges,28,sherman1.mtx,FIXED_POINT,RELAXATION,unconverged,0.490216,10000.0,0.00537499,1,0,2,0,-1,inf,-1946102749737017214
38,bridges,28,sherman1.mtx,FIXED_POINT,CHEBYSHEV,error,0.0,,,1,0,3,-1,-1,inf,-1946102749737017214
