system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
bridges,28,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.61363,10000,0.260768
bridges,28,saylr3.mtx,FIXED_POINT,RILUK,error,0
bridges,28,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.478911,10000,0.0634735
bridges,28,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
bridges,28,saylr3.mtx,FIXED_POINT,NONE,error,0
bridges,28,saylr3.mtx,BICGSTAB,ILUT,error,0
bridges,28,saylr3.mtx,BICGSTAB,RILUK,error,0
bridges,28,saylr3.mtx,BICGSTAB,RELAXATION,error,0
bridges,28,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
bridges,28,saylr3.mtx,BICGSTAB,NONE,error,0
bridges,28,saylr3.mtx,MINRES,ILUT,unconverged,0.642208,10000,0.0100667
bridges,28,saylr3.mtx,MINRES,RILUK,unconverged,0.622879,10000,0.0100667
bridges,28,saylr3.mtx,MINRES,RELAXATION,unconverged,0.621333,10000,0.0100667
bridges,28,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.631067,10000,0.0100667
bridges,28,saylr3.mtx,MINRES,NONE,unconverged,0.630232,10000,0.0100667
bridges,28,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
bridges,28,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
bridges,28,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
bridges,28,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
bridges,28,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
bridges,28,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
bridges,28,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
bridges,28,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0
bridges,28,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.40097,10000,124.741
bridges,28,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,2.92819,10000,111.293
bridges,28,saylr3.mtx,LSQR,ILUT,converged,0.292523,987,
bridges,28,saylr3.mtx,LSQR,RILUK,unconverged,1.47237,10000,
bridges,28,saylr3.mtx,LSQR,RELAXATION,converged,0.692547,3477,
bridges,28,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.41516,2034,
bridges,28,saylr3.mtx,LSQR,NONE,unconverged,1.10272,10000,
bridges,28,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.264856,198,6.50979e-07
bridges,28,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0
bridges,28,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,3.28839,10000,0.0632456
bridges,28,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,3.2873,10000,0.841004
bridges,28,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.05962,10000,0.0632456
bridges,28,sherman1.mtx,FIXED_POINT,ILUT,converged,0.190768,1093,9.94319e-07
bridges,28,sherman1.mtx,FIXED_POINT,RILUK,converged,0.0749493,1093,9.94319e-07
