system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
comet,16,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.792986,10000,0.260768
comet,16,saylr3.mtx,FIXED_POINT,RILUK,error,0
comet,16,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.540603,10000,0.0634735
comet,16,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
comet,16,saylr3.mtx,FIXED_POINT,NONE,error,0
comet,16,saylr3.mtx,BICGSTAB,ILUT,error,0
comet,16,saylr3.mtx,BICGSTAB,RILUK,error,0
comet,16,saylr3.mtx,BICGSTAB,RELAXATION,error,0
comet,16,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
comet,16,saylr3.mtx,BICGSTAB,NONE,error,0
comet,16,saylr3.mtx,MINRES,ILUT,unconverged,0.683326,10000,0.0187202
comet,16,saylr3.mtx,MINRES,RILUK,unconverged,0.677426,10000,0.0187202
comet,16,saylr3.mtx,MINRES,RELAXATION,unconverged,0.676848,10000,0.0187202
comet,16,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.673041,10000,0.0187202
comet,16,saylr3.mtx,MINRES,NONE,unconverged,0.678393,10000,0.0187202
comet,16,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
comet,16,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
comet,16,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
comet,16,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
comet,16,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
comet,16,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
comet,16,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
comet,16,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,unconverged,3.8781,10000,125.951
comet,16,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.95653,10000,128.327
comet,16,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,3.35923,10000,111.293
comet,16,saylr3.mtx,LSQR,ILUT,converged,0.347454,1000,
comet,16,saylr3.mtx,LSQR,RILUK,unconverged,2.18592,10000,
comet,16,saylr3.mtx,LSQR,RELAXATION,converged,0.982052,3499,
comet,16,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.346064,1213,
comet,16,saylr3.mtx,LSQR,NONE,unconverged,1.64443,10000,
comet,16,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.0973041,199,4.39661e-07
comet,16,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0
