system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
comet,1,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.583413,10000,0.260768
comet,1,saylr3.mtx,FIXED_POINT,RILUK,error,0
comet,1,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.237777,10000,0.0634735
comet,1,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
comet,1,saylr3.mtx,FIXED_POINT,NONE,error,0
comet,1,saylr3.mtx,BICGSTAB,ILUT,error,0
comet,1,saylr3.mtx,BICGSTAB,RILUK,error,0
comet,1,saylr3.mtx,BICGSTAB,RELAXATION,error,0
comet,1,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
comet,1,saylr3.mtx,BICGSTAB,NONE,error,0
comet,1,saylr3.mtx,MINRES,ILUT,unconverged,0.377169,10000,0.0113317
comet,1,saylr3.mtx,MINRES,RILUK,unconverged,0.361136,10000,0.0113317
comet,1,saylr3.mtx,MINRES,RELAXATION,unconverged,0.361377,10000,0.0113317
comet,1,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.364323,10000,0.0113317
comet,1,saylr3.mtx,MINRES,NONE,unconverged,0.363143,10000,0.0113317
comet,1,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
comet,1,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
comet,1,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
comet,1,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
comet,1,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
comet,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
comet,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
comet,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0
comet,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,error,0
comet,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,2.335,10000,111.293
comet,1,saylr3.mtx,LSQR,ILUT,converged,0.307844,996,
comet,1,saylr3.mtx,LSQR,RILUK,unconverged,1.66081,10000,
comet,1,saylr3.mtx,LSQR,RELAXATION,converged,0.696949,3594,
comet,1,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.738461,3590,
comet,1,saylr3.mtx,LSQR,NONE,unconverged,0.909606,10000,
comet,1,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.047699,87,8.54843e-07
comet,1,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0
comet,1,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,3.95547,10000,0.0716772
comet,1,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,3.98938,10000,2.28944e+42
comet,1,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.70688,10000,0.08025
comet,1,sherman1.mtx,FIXED_POINT,ILUT,converged,0.0321038,540,9.91403e-07
