system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
janus,4,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.843508,10000,0.260768
janus,4,saylr3.mtx,FIXED_POINT,RILUK,error,0.00156593
janus,4,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.592962,10000,0.0634735
janus,4,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0.0121801
janus,4,saylr3.mtx,FIXED_POINT,NONE,error,0.0226572
janus,4,saylr3.mtx,BICGSTAB,ILUT,error,0.244906
janus,4,saylr3.mtx,BICGSTAB,RILUK,error,0.00133014
janus,4,saylr3.mtx,BICGSTAB,RELAXATION,error,0.477392
janus,4,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,1.22287
janus,4,saylr3.mtx,BICGSTAB,NONE,error,2.1971
janus,4,saylr3.mtx,MINRES,ILUT,unconverged,0.669389,10000,0.00353228
janus,4,saylr3.mtx,MINRES,RILUK,unconverged,0.678055,10000,0.00353228
janus,4,saylr3.mtx,MINRES,RELAXATION,unconverged,0.661691,10000,0.00353228
janus,4,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.663895,10000,0.00353228
janus,4,saylr3.mtx,MINRES,NONE,unconverged,0.677049,10000,0.00353228
janus,4,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0.000693083
janus,4,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0.000957966
janus,4,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.000329018
janus,4,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.00108814
janus,4,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0.000364065
janus,4,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,ILUT,error,0.000703096
janus,4,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RILUK,error,0.00100708
janus,4,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RELAXATION,error,0.000346899
janus,4,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,CHEBYSHEV,error,0.00101686
janus,4,saylr3.mtx,PSEUDOBLOCK_STOCHASTIC_CG,NONE,error,0.000374079
janus,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0.195129
janus,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0.00134611
janus,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,1.21588
janus,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.38986,10000,132.065
janus,4,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,error,2.92552
janus,4,saylr3.mtx,TFQMR,ILUT,error,0.111385
janus,4,saylr3.mtx,TFQMR,RILUK,error,0.001194
janus,4,saylr3.mtx,TFQMR,RELAXATION,error,0.596239
janus,4,saylr3.mtx,TFQMR,CHEBYSHEV,unconverged,1.69508,10000,132.065
janus,4,saylr3.mtx,TFQMR,NONE,error,1.1769
janus,4,saylr3.mtx,LSQR,ILUT,converged,0.267224,977,
janus,4,saylr3.mtx,LSQR,RILUK,unconverged,1.6141,10000,
janus,4,saylr3.mtx,LSQR,RELAXATION,converged,0.750341,3551,
janus,4,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.774762,3556,
janus,4,saylr3.mtx,LSQR,NONE,unconverged,1.18954,10000,
janus,4,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.0522299,144,6.5464e-07
janus,4,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0.00116801
janus,4,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,2.26393,6300,0.0632456
janus,4,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,2.27924,6300,0.0632456
janus,4,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,2.12919,6300,0.0632456
janus,4,sherman1.mtx,FIXED_POINT,ILUT,converged,0.0471489,574,9.97027e-07
janus,4,sherman1.mtx,FIXED_POINT,RILUK,converged,0.047668,574,9.97027e-07
janus,4,sherman1.mtx,FIXED_POINT,RELAXATION,unconverged,0.56753,10000,0.00537499
janus,4,sherman1.mtx,FIXED_POINT,CHEBYSHEV,error,0.0118699
janus,4,sherman1.mtx,FIXED_POINT,NONE,error,0.0219741
janus,4,sherman1.mtx,BICGSTAB,ILUT,converged,0.011009,30,6.68669e-07
janus,4,sherman1.mtx,BICGSTAB,RILUK,converged,0.0111582,30,6.6883e-07
janus,4,sherman1.mtx,BICGSTAB,RELAXATION,converged,0.0616639,210,3.12668e-07
janus,4,sherman1.mtx,BICGSTAB,CHEBYSHEV,converged,0.064173,213,5.11933e-07
janus,4,sherman1.mtx,BICGSTAB,NONE,converged,0.0992432,343,9.95492e-07
janus,4,sherman1.mtx,MINRES,ILUT,converged,0.0315249,429,9.95781e-07
janus,4,sherman1.mtx,MINRES,RILUK,converged,0.0315249,429,9.95781e-07
janus,4,sherman1.mtx,MINRES,RELAXATION,converged,0.0305071,429,9.95781e-07
janus,4,sherman1.mtx,MINRES,CHEBYSHEV,converged,0.0312011,429,9.95781e-07
janus,4,sherman1.mtx,MINRES,NONE,converged,0.03071,429,9.95781e-07
janus,4,sherman1.mtx,PSEUDOBLOCK_CG,ILUT,error,0.000674963
janus,4,sherman1.mtx,PSEUDOBLOCK_CG,RILUK,error,0.000863075
janus,4,sherman1.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.000356197
janus,4,sherman1.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.00109816
janus,4,sherman1.mtx,PSEUDOBLOCK_CG,NONE,error,0.000390053
janus,4,sherman1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,ILUT,error,0.000686169
janus,4,sherman1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RILUK,error,0.00088191
janus,4,sherman1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RELAXATION,error,0.000370979
janus,4,sherman1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,CHEBYSHEV,error,0.00111198
janus,4,sherman1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,NONE,error,0.000400782
janus,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.016386,38,9.70918e-07
janus,4,sherman1.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.016474,38,9.72639e-07
