system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
stampede,1,saylr3.mtx,FIXED_POINT,ILUT,unconverged,1.09116,10000,0.260768
stampede,1,saylr3.mtx,FIXED_POINT,RILUK,error,0
stampede,1,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.304055,10000,0.0634735
stampede,1,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
stampede,1,saylr3.mtx,FIXED_POINT,NONE,error,0
stampede,1,saylr3.mtx,BICGSTAB,ILUT,error,0
stampede,1,saylr3.mtx,BICGSTAB,RILUK,error,0
stampede,1,saylr3.mtx,BICGSTAB,RELAXATION,error,0
stampede,1,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
stampede,1,saylr3.mtx,BICGSTAB,NONE,error,0
stampede,1,saylr3.mtx,MINRES,ILUT,unconverged,0.448441,10000,0.0113317
stampede,1,saylr3.mtx,MINRES,RILUK,unconverged,0.395263,10000,0.0113317
stampede,1,saylr3.mtx,MINRES,RELAXATION,unconverged,0.396571,10000,0.0113317
stampede,1,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.400838,10000,0.0113317
stampede,1,saylr3.mtx,MINRES,NONE,unconverged,0.397545,10000,0.0113317
stampede,1,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
stampede,1,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
stampede,1,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
stampede,1,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
stampede,1,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
stampede,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
stampede,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
stampede,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0
stampede,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,error,0
stampede,1,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,2.38953,10000,111.293
stampede,1,saylr3.mtx,LSQR,ILUT,converged,0.339635,996,
stampede,1,saylr3.mtx,LSQR,RILUK,unconverged,1.59226,10000,
stampede,1,saylr3.mtx,LSQR,RELAXATION,converged,0.679715,3594,
stampede,1,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.707442,3590,
stampede,1,saylr3.mtx,LSQR,NONE,unconverged,0.874455,10000,
stampede,1,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.20969,88,9.3567e-07
stampede,1,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0
stampede,1,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,4.10451,10000,0.0632456
stampede,1,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,4.12727,10000,0.0632456
stampede,1,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.86609,10000,0.0632456
stampede,1,sherman1.mtx,FIXED_POINT,ILUT,converged,0.0375853,540,9.91403e-07
stampede,1,sherman1.mtx,FIXED_POINT,RILUK,converged,0.0334709,540,9.91403e-07
stampede,1,sherman1.mtx,FIXED_POINT,RELAXATION,unconverged,0.268867,10000,0.00537499
stampede,1,sherman1.mtx,FIXED_POINT,CHEBYSHEV,error,0
stampede,1,sherman1.mtx,FIXED_POINT,NONE,error,0
stampede,1,sherman1.mtx,BICGSTAB,ILUT,converged,0.00992557,28,3.4217e-08
stampede,1,sherman1.mtx,BICGSTAB,RILUK,converged,0.00918445,28,3.42403e-08
stampede,1,sherman1.mtx,BICGSTAB,RELAXATION,converged,0.0575338,251,2.86168e-07
stampede,1,sherman1.mtx,BICGSTAB,CHEBYSHEV,converged,0.0523391,219,9.29312e-07
stampede,1,sherman1.mtx,BICGSTAB,NONE,converged,0.0757616,345,5.13093e-07
stampede,1,sherman1.mtx,MINRES,ILUT,converged,0.0187132,430,9.87159e-07
stampede,1,sherman1.mtx,MINRES,RILUK,converged,0.0181856,430,9.87159e-07
stampede,1,sherman1.mtx,MINRES,RELAXATION,converged,0.0174293,430,9.87159e-07
stampede,1,sherman1.mtx,MINRES,CHEBYSHEV,converged,0.0177833,430,9.87159e-07
stampede,1,sherman1.mtx,MINRES,NONE,converged,0.0174488,430,9.87159e-07
stampede,1,sherman1.mtx,PSEUDOBLOCK_CG,ILUT,error,0
stampede,1,sherman1.mtx,PSEUDOBLOCK_CG,RILUK,error,0
stampede,1,sherman1.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
stampede,1,sherman1.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
stampede,1,sherman1.mtx,PSEUDOBLOCK_CG,NONE,error,0
stampede,1,sherman1.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0146707,35,6.80479e-07
stampede,1,sherman1.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.0138903,35,6.41222e-07
stampede,1,sherman1.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.0910712,316,4.29101e-07
stampede,1,sherman1.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,converged,0.0772109,254,9.35837e-07
stampede,1,sherman1.mtx,PSEUDOBLOCK_TFQMR,NONE,converged,0.13755,568,9.77156e-07
stampede,1,sherman1.mtx,LSQR,ILUT,converged,0.29219,996,
stampede,1,sherman1.mtx,LSQR,RILUK,converged,0.0556328,192,
stampede,1,sherman1.mtx,LSQR,RELAXATION,converged,0.631295,3309,
stampede,1,sherman1.mtx,LSQR,CHEBYSHEV,converged,0.655569,3305,
stampede,1,sherman1.mtx,LSQR,NONE,converged,0.7993,9138,
stampede,1,sherman1.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.0155468,40,5.61618e-07
stampede,1,sherman1.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.0134964,40,5.61618e-07
stampede,1,sherman1.mtx,PSEUDOBLOCK_GMRES,RELAXATION,converged,0.0862897,225,9.4501e-07
stampede,1,sherman1.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,converged,0.0859736,225,9.4501e-07
stampede,1,sherman1.mtx,PSEUDOBLOCK_GMRES,NONE,converged,0.130006,347,9.64542e-07
stampede,1,olm1000.mtx,FIXED_POINT,ILUT,error,0
stampede,1,olm1000.mtx,FIXED_POINT,RILUK,error,0
stampede,1,olm1000.mtx,FIXED_POINT,RELAXATION,error,0
stampede,1,olm1000.mtx,FIXED_POINT,CHEBYSHEV,error,0
stampede,1,olm1000.mtx,FIXED_POINT,NONE,error,0
stampede,1,olm1000.mtx,BICGSTAB,ILUT,converged,0.00989877,28,4.76277e-08
stampede,1,olm1000.mtx,BICGSTAB,RILUK,converged,0.00894498,27,5.174e-07
stampede,1,olm1000.mtx,BICGSTAB,RELAXATION,unconverged,2.29069,10000,2.28966e+36
stampede,1,olm1000.mtx,BICGSTAB,CHEBYSHEV,unconverged,2.38513,10000,1.25796e+32
stampede,1,olm1000.mtx,BICGSTAB,NONE,unconverged,2.213,10000,2.08515
stampede,1,olm1000.mtx,MINRES,ILUT,unconverged,0.403942,10000,0.0751425
stampede,1,olm1000.mtx,MINRES,RILUK,unconverged,0.399372,10000,0.0751425
stampede,1,olm1000.mtx,MINRES,RELAXATION,unconverged,0.397771,10000,0.0751425
stampede,1,olm1000.mtx,MINRES,CHEBYSHEV,unconverged,0.398256,10000,0.0751425
stampede,1,olm1000.mtx,MINRES,NONE,unconverged,0.40046,10000,0.0751425
stampede,1,olm1000.mtx,PSEUDOBLOCK_CG,ILUT,error,0
stampede,1,olm1000.mtx,PSEUDOBLOCK_CG,RILUK,error,0
stampede,1,olm1000.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
stampede,1,olm1000.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
stampede,1,olm1000.mtx,PSEUDOBLOCK_CG,NONE,error,0
stampede,1,olm1000.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0127265,30,5.12039e-07
stampede,1,olm1000.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.012236,31,6.29782e-07
stampede,1,olm1000.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,unconverged,2.93957,10000,141.242
stampede,1,olm1000.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.05189,10000,141.242
stampede,1,olm1000.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,2.49436,10000,140.727
stampede,1,olm1000.mtx,LSQR,ILUT,unconverged,1.63933,10000,
stampede,1,olm1000.mtx,LSQR,RILUK,converged,0.0129925,42,
stampede,1,olm1000.mtx,LSQR,RELAXATION,converged,0.438935,2276,
stampede,1,olm1000.mtx,LSQR,CHEBYSHEV,converged,0.462015,2274,
stampede,1,olm1000.mtx,LSQR,NONE,converged,0.243233,2727,
stampede,1,olm1000.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.00879053,20,3.60215e-07
stampede,1,olm1000.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.00703771,20,3.60215e-07
stampede,1,olm1000.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,6.42681,10000,0.000121374
stampede,1,olm1000.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,converged,6.42339,9952,9.82003e-07
stampede,1,olm1000.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.93444,10000,0.451271
stampede,1,tub1000.mtx,FIXED_POINT,ILUT,error,0
stampede,1,tub1000.mtx,FIXED_POINT,RILUK,error,0
stampede,1,tub1000.mtx,FIXED_POINT,RELAXATION,unconverged,0.264746,10000,1.0167
stampede,1,tub1000.mtx,FIXED_POINT,CHEBYSHEV,error,0
stampede,1,tub1000.mtx,FIXED_POINT,NONE,error,0
stampede,1,tub1000.mtx,BICGSTAB,ILUT,converged,0.00466862,11,1.47943e-08
stampede,1,tub1000.mtx,BICGSTAB,RILUK,converged,0.00427288,11,2.73541e-08
stampede,1,tub1000.mtx,BICGSTAB,RELAXATION,converged,0.271967,1203,3.86031e-07
