system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
stampede,8,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.795383,10000,0.260768
stampede,8,saylr3.mtx,FIXED_POINT,RILUK,error,0
stampede,8,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.520232,10000,0.0634735
stampede,8,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
stampede,8,saylr3.mtx,FIXED_POINT,NONE,error,0
stampede,8,saylr3.mtx,BICGSTAB,ILUT,error,0
stampede,8,saylr3.mtx,BICGSTAB,RILUK,error,0
stampede,8,saylr3.mtx,BICGSTAB,RELAXATION,error,0
stampede,8,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
stampede,8,saylr3.mtx,BICGSTAB,NONE,error,0
stampede,8,saylr3.mtx,MINRES,ILUT,unconverged,0.63728,10000,0.00522394
stampede,8,saylr3.mtx,MINRES,RILUK,unconverged,0.625616,10000,0.00522394
stampede,8,saylr3.mtx,MINRES,RELAXATION,unconverged,0.631709,10000,0.00522394
stampede,8,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.634319,10000,0.00522394
stampede,8,saylr3.mtx,MINRES,NONE,unconverged,0.632144,10000,0.00522394
stampede,8,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
stampede,8,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
stampede,8,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
stampede,8,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
stampede,8,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
stampede,8,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
stampede,8,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
stampede,8,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0
stampede,8,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.60729,10000,129.425
