system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
summit,20,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.560208,10000,0.260768
summit,20,saylr3.mtx,FIXED_POINT,RILUK,error,0
summit,20,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.426608,10000,0.0634735
summit,20,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
summit,20,saylr3.mtx,FIXED_POINT,NONE,error,0
summit,20,saylr3.mtx,BICGSTAB,ILUT,error,0
summit,20,saylr3.mtx,BICGSTAB,RILUK,error,0
summit,20,saylr3.mtx,BICGSTAB,RELAXATION,error,0
summit,20,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
summit,20,saylr3.mtx,BICGSTAB,NONE,error,0
summit,20,saylr3.mtx,MINRES,ILUT,unconverged,0.545934,10000,9.17656e-05
summit,20,saylr3.mtx,MINRES,RILUK,unconverged,0.540382,10000,9.17656e-05
summit,20,saylr3.mtx,MINRES,RELAXATION,unconverged,0.540969,10000,9.17656e-05
summit,20,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.543414,10000,9.17656e-05
summit,20,saylr3.mtx,MINRES,NONE,unconverged,0.544514,10000,9.17656e-05
summit,20,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
summit,20,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
summit,20,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
summit,20,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
summit,20,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
summit,20,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
summit,20,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
summit,20,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0
summit,20,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,2.83787,10000,135.055
summit,20,saylr3.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,2.4273,10000,111.293
summit,20,saylr3.mtx,LSQR,ILUT,converged,0.455509,1100,
summit,20,saylr3.mtx,LSQR,RILUK,unconverged,3.16618,10000,
summit,20,saylr3.mtx,LSQR,RELAXATION,converged,1.22478,3490,
summit,20,saylr3.mtx,LSQR,CHEBYSHEV,converged,0.527921,1510,
summit,20,saylr3.mtx,LSQR,NONE,unconverged,2.86489,10000,
summit,20,saylr3.mtx,PSEUDOBLOCK_GMRES,ILUT,unconverged,0.06444,177,5.39042e-07
summit,20,saylr3.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0
summit,20,saylr3.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,2.90747,10000,0.0632456
summit,20,saylr3.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,2.94133,10000,0.823547
summit,20,saylr3.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,2.70538,10000,0.0632456
summit,20,sherman1.mtx,FIXED_POINT,ILUT,converged,0.0469763,838,9.9724e-07
summit,20,sherman1.mtx,FIXED_POINT,RILUK,converged,0.0475297,838,9.9724e-07
summit,20,sherman1.mtx,FIXED_POINT,RELAXATION,unconverged,0.391522,10000,0.00537499
summit,20,sherman1.mtx,FIXED_POINT,CHEBYSHEV,error,0
summit,20,sherman1.mtx,FIXED_POINT,NONE,error,0
summit,20,sherman1.mtx,BICGSTAB,ILUT,converged,0.0114262,39,7.63266e-07
summit,20,sherman1.mtx,BICGSTAB,RILUK,converged,0.0111465,39,7.63266e-07
summit,20,sherman1.mtx,BICGSTAB,RELAXATION,converged,0.0521975,224,6.21541e-07
summit,20,sherman1.mtx,BICGSTAB,CHEBYSHEV,converged,0.0603669,253,4.98791e-07
summit,20,sherman1.mtx,BICGSTAB,NONE,converged,0.0733743,324,9.93241e-07
summit,20,sherman1.mtx,MINRES,ILUT,converged,0.0242047,428,9.71072e-07
summit,20,sherman1.mtx,MINRES,RILUK,converged,0.0221889,428,9.71072e-07
summit,20,sherman1.mtx,MINRES,RELAXATION,converged,0.0222299,428,9.71072e-07
summit,20,sherman1.mtx,MINRES,CHEBYSHEV,converged,0.0225189,428,9.71072e-07
summit,20,sherman1.mtx,MINRES,NONE,converged,0.0222816,428,9.71072e-07
summit,20,sherman1.mtx,PSEUDOBLOCK_CG,ILUT,error,0
summit,20,sherman1.mtx,PSEUDOBLOCK_CG,RILUK,error,0
summit,20,sherman1.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
summit,20,sherman1.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
summit,20,sherman1.mtx,PSEUDOBLOCK_CG,NONE,error,0
summit,20,sherman1.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0400782,54,4.20178e-08
summit,20,sherman1.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.0176313,54,6.10583e-08
summit,20,sherman1.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.0891912,320,3.83332e-07
summit,20,sherman1.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,2.83638,10000,126.58
summit,20,sherman1.mtx,PSEUDOBLOCK_TFQMR,NONE,converged,0.139478,575,5.33657e-07
summit,20,sherman1.mtx,LSQR,ILUT,converged,0.442903,1100,
summit,20,sherman1.mtx,LSQR,RILUK,converged,0.158599,388,
summit,20,sherman1.mtx,LSQR,RELAXATION,converged,1.12894,3197,
summit,20,sherman1.mtx,LSQR,CHEBYSHEV,converged,0.58326,1644,
summit,20,sherman1.mtx,LSQR,NONE,converged,2.53121,8888,
summit,20,sherman1.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.0193009,59,8.15734e-07
