system,num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
summit,24,saylr3.mtx,FIXED_POINT,ILUT,unconverged,0.604809,10000,0.260768
summit,24,saylr3.mtx,FIXED_POINT,RILUK,error,0
summit,24,saylr3.mtx,FIXED_POINT,RELAXATION,unconverged,0.457335,10000,0.0634735
summit,24,saylr3.mtx,FIXED_POINT,CHEBYSHEV,error,0
summit,24,saylr3.mtx,FIXED_POINT,NONE,error,0
summit,24,saylr3.mtx,BICGSTAB,ILUT,error,0
summit,24,saylr3.mtx,BICGSTAB,RILUK,error,0
summit,24,saylr3.mtx,BICGSTAB,RELAXATION,error,0
summit,24,saylr3.mtx,BICGSTAB,CHEBYSHEV,error,0
summit,24,saylr3.mtx,BICGSTAB,NONE,error,0
summit,24,saylr3.mtx,MINRES,ILUT,unconverged,0.554673,10000,0.0114668
summit,24,saylr3.mtx,MINRES,RILUK,unconverged,0.551716,10000,0.0114668
summit,24,saylr3.mtx,MINRES,RELAXATION,unconverged,0.561466,10000,0.0114668
summit,24,saylr3.mtx,MINRES,CHEBYSHEV,unconverged,0.548343,10000,0.0114668
summit,24,saylr3.mtx,MINRES,NONE,unconverged,0.553017,10000,0.0114668
summit,24,saylr3.mtx,PSEUDOBLOCK_CG,ILUT,error,0
summit,24,saylr3.mtx,PSEUDOBLOCK_CG,RILUK,error,0
summit,24,saylr3.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0
summit,24,saylr3.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0
summit,24,saylr3.mtx,PSEUDOBLOCK_CG,NONE,error,0
summit,24,saylr3.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0
summit,24,saylr3.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0
summit,24,saylr3.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0
summit,24,saylr3.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,2.9004,10000,129.932
