solver prec iterations bytes_per_rank_and_region bytes_per_iteration_per_rank_per_solver-prec
pseudoblock_gmres chebyshev 10000 133408 unconv
lsqr ilut 10000 1123972 unconv
fixed_point chebyshev err 14464 err
fixed_point none err 13072 err
pseudoblock_tfqmr riluk 3 4740 1580.00
pseudoblock_gmres riluk 4 6212 1553.00
pseudoblock_tfqmr ilut 3 4612 1537.33
pseudoblock_gmres ilut 4 6084 1521.00
bicgstab riluk 3 3604 1201.33
bicgstab ilut 3 3476 1158.67
pseudoblock_gmres none 21 22320 1062.86
pseudoblock_gmres relaxation 9 8944 993.78
pseudoblock_cg riluk 4 3956 989.00
pseudoblock_tfqmr chebyshev 7 6784 969.14
pseudoblock_cg ilut 4 3828 957.00
lsqr riluk 6 5252 875.33
bicgstab chebyshev 7 5776 825.14
pseudoblock_tfqmr relaxation 7 5312 758.86
pseudoblock_cg chebyshev 9 5824 647.11
bicgstab relaxation 7 4304 614.86
pseudoblock_cg relaxation 9 4352 483.56
lsqr chebyshev 20 9088 454.40
bicgstab none 14 6096 435.43
pseudoblock_tfqmr none 18 7776 432.00
lsqr relaxation 20 7616 380.80
fixed_point riluk 6 1972 328.67
minres chebyshev 21 6768 322.29
fixed_point ilut 6 1860 310.00
pseudoblock_cg none 21 6080 289.52
lsqr none 44 12224 277.82
minres riluk 21 5620 267.62
minres ilut 21 5492 261.52
minres relaxation 21 5296 252.19
minres none 21 5296 252.19
fixed_point relaxation 32 3728 116.50
